trueR,trueI
-1.281710e-03,-8.649000e-05
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,7970254,28835840,525272,-1.717934e-03,1.660587e-05,1.902916e-07,1.062876e-08,1.158351e-01,1.420858e+00
1048576,7970283,57671680,1050862,-8.848846e-04,-1.355827e-03,1.574704e-07,1.611216e-06,9.585601e-02,2.153883e+02
1572864,7971137,86507520,1576543,-9.568720e-04,-3.985213e-04,1.055197e-07,9.736353e-08,6.423239e-02,1.301561e+01
2097152,7971854,115343360,2102040,-8.686644e-04,-6.516188e-04,1.706067e-07,3.193706e-07,1.038524e-01,4.269363e+01
2621440,7972380,144179200,2627372,-9.524670e-04,-9.600297e-04,1.084009e-07,7.630715e-07,6.598625e-02,1.020078e+02
3145728,7973543,173015040,3152774,-1.083688e-03,-6.562682e-04,3.921290e-08,3.246472e-07,2.386983e-02,4.339901e+01
3670016,7973901,201850880,3678259,-1.338929e-03,-4.619271e-04,3.274048e-09,1.409530e-07,1.992991e-03,1.884267e+01
4194304,7974012,230686720,4203666,-1.278489e-03,-2.615356e-04,1.037321e-11,3.064096e-08,6.314420e-06,4.096101e+00
4718592,7974079,259522560,4728847,-1.216925e-03,-2.793560e-04,4.197052e-09,3.719728e-08,2.554847e-03,4.972552e+00
5242880,7974344,288358400,5254251,-1.419034e-03,-5.310188e-04,1.885800e-08,1.976058e-07,1.147932e-02,2.641605e+01
5767168,7974548,317194240,5779672,-1.306032e-03,-5.376028e-04,5.915461e-10,2.035027e-07,3.600884e-04,2.720435e+01
6291456,7974754,346030080,6305124,-1.353855e-03,-2.828283e-04,5.204887e-09,3.854873e-08,3.168340e-03,5.153216e+00
6815744,7975432,374865920,6830505,-1.316183e-03,-1.859295e-04,1.188373e-09,9.888206e-09,7.233913e-04,1.321861e+00
7340032,7976189,403701760,7355775,-1.264801e-03,-2.388441e-04,2.859213e-10,2.321176e-08,1.740472e-04,3.102961e+00
7864320,7976732,432537600,7881099,-1.245445e-03,-1.557310e-04,1.315159e-09,4.794314e-09,8.005688e-04,6.409066e-01
8388608,7976852,461373440,8406423,-1.155349e-03,-2.342997e-04,1.596708e-08,2.184770e-08,9.719546e-03,2.920613e+00
8912896,7976983,490209280,8931873,-1.127630e-03,-1.800680e-04,2.374057e-08,8.756834e-09,1.445146e-02,1.170619e+00
9437184,7978298,519045120,9457513,-1.128067e-03,-2.350838e-04,2.360630e-08,2.208012e-08,1.436972e-02,2.951683e+00
9961472,7978314,547880960,9982822,-1.142951e-03,-3.097095e-04,1.925400e-08,4.982695e-08,1.172038e-02,6.660894e+00
10485760,7979076,576716800,10508220,-1.183144e-03,-2.491990e-04,9.715176e-09,2.647421e-08,5.913862e-03,3.539087e+00
11010048,7979206,605552640,11033421,-1.151554e-03,-3.586281e-04,1.694054e-08,7.405917e-08,1.031211e-02,9.900270e+00
11534336,7979292,634388480,11559006,-1.227255e-03,-4.161235e-04,2.965298e-09,1.086582e-07,1.805048e-03,1.452549e+01
12058624,7980954,663224320,12084211,-1.274568e-03,-4.016460e-04,5.100266e-11,9.932331e-08,3.104654e-05,1.327759e+01
12582912,7981184,692060160,12609818,-1.305588e-03,-4.375658e-04,5.701786e-10,1.232542e-07,3.470814e-04,1.647669e+01
13107200,7981242,720896000,13135456,-1.310134e-03,-3.854791e-04,8.079483e-10,8.939448e-08,4.918175e-04,1.195030e+01
13631488,7982730,749731840,13660902,-1.272920e-03,-3.829862e-04,7.726507e-11,8.790998e-08,4.703311e-05,1.175185e+01
14155776,7983783,778567680,14186201,-1.284466e-03,-4.112952e-04,7.597551e-12,1.054984e-07,4.624812e-06,1.410309e+01
14680064,7984379,807403520,14711606,-1.285665e-03,-4.045575e-04,1.564277e-11,1.011670e-07,9.522130e-06,1.352405e+01
15204352,7985833,836239360,15236943,-1.259244e-03,-3.966117e-04,5.047134e-10,9.617546e-08,3.072312e-04,1.285679e+01
15728640,7990520,865075200,15762461,-1.286504e-03,-3.949961e-04,2.298562e-11,9.517598e-08,1.399190e-05,1.272318e+01
16252928,7990526,893911040,16288305,-1.262511e-03,-4.163058e-04,3.686188e-10,1.087784e-07,2.243871e-04,1.454156e+01
16777216,7991808,922746880,16813778,-1.263157e-03,-4.342841e-04,3.442049e-10,1.209607e-07,2.095258e-04,1.617009e+01
17301504,7993132,951582720,17339345,-1.256165e-03,-4.600797e-04,6.525656e-10,1.395692e-07,3.972324e-04,1.865769e+01
17825792,7993156,980418560,17864895,-1.239132e-03,-4.700532e-04,1.812923e-09,1.471207e-07,1.103570e-03,1.966718e+01
18350080,7995695,1009254400,18390442,-1.218890e-03,-4.802678e-04,3.946342e-09,1.550609e-07,2.402234e-03,2.072863e+01
18874368,7995886,1038090240,18916143,-1.181948e-03,-4.682858e-04,9.952502e-09,1.457681e-07,6.058327e-03,1.948635e+01
19398656,7996487,1066926080,19441344,-1.191674e-03,-4.842975e-04,8.106453e-09,1.582508e-07,4.934593e-03,2.115505e+01
19922944,7996858,1095761920,19966809,-1.186812e-03,-4.958856e-04,9.005639e-09,1.676047e-07,5.481949e-03,2.240549e+01
20447232,7996864,1124597760,20492290,-1.188714e-03,-4.694312e-04,8.648223e-09,1.466439e-07,5.264381e-03,1.960344e+01
20971520,7996904,1153433600,21017850,-1.203537e-03,-4.772065e-04,6.111001e-09,1.526594e-07,3.719913e-03,2.040759e+01
21495808,7996991,1182269440,21543146,-1.179598e-03,-5.131621e-04,1.042678e-08,1.820491e-07,6.347032e-03,2.433642e+01
22020096,7997308,1211105280,22068564,-1.161482e-03,-5.239647e-04,1.445481e-08,1.913841e-07,8.798991e-03,2.558433e+01
22544384,7997488,1239941120,22593870,-1.172312e-03,-4.817506e-04,1.196791e-08,1.562309e-07,7.285152e-03,2.088503e+01
23068672,7997886,1268776960,23119173,-1.172877e-03,-4.911562e-04,1.184456e-08,1.637547e-07,7.210070e-03,2.189082e+01
23592960,7998445,1297612800,23644522,-1.135435e-03,-4.430490e-04,2.139632e-08,1.271343e-07,1.302445e-02,1.699539e+01
24117248,7998805,1326448640,24169882,-1.130040e-03,-4.131384e-04,2.300388e-08,1.066992e-07,1.400302e-02,1.426360e+01
24641536,7998914,1355284480,24695054,-1.160619e-03,-4.213482e-04,1.466301e-08,1.121300e-07,8.925726e-03,1.498960e+01
25165824,7999483,1384120320,25220789,-1.170046e-03,-4.313937e-04,1.246876e-08,1.189586e-07,7.590034e-03,1.590244e+01
25690112,8000105,1412956160,25746142,-1.158950e-03,-4.225005e-04,1.507012e-08,1.129030e-07,9.173546e-03,1.509294e+01
