trueR,trueI
-1.281710e-03,-8.649000e-05
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,2656740,524288,65,-8.645025e-02,6.662585e-02,7.253680e-03,4.450535e-03,4.415490e+03,5.949500e+05
1048576,2657753,1048576,128,-5.741443e-02,2.673880e-02,3.150882e-03,7.195960e-04,1.918018e+03,9.619599e+04
1572864,2657903,1572864,203,-2.003531e-02,3.482117e-02,3.516975e-04,1.218545e-03,2.140867e+02,1.628957e+05
2097152,2657953,2097152,269,-7.990980e-03,4.848582e-02,4.501430e-05,2.359269e-03,2.740129e+01,3.153884e+05
2621440,2658004,2621440,333,-2.351386e-02,8.376256e-02,4.942687e-04,7.030663e-03,3.008732e+02,9.398629e+05
3145728,2658254,3145728,396,-3.909600e-03,4.796681e-02,6.905809e-06,2.309120e-03,4.203732e+00,3.086843e+05
3670016,2658351,3670016,466,-3.071217e-04,4.165601e-02,9.498223e-07,1.742437e-03,5.781797e-01,2.329299e+05
4194304,2658464,4194304,540,-1.286095e-02,4.811718e-02,1.340789e-04,2.323594e-03,8.161702e+01,3.106193e+05
4718592,2658638,4718592,598,-1.245001e-02,5.247696e-02,1.247309e-04,2.762916e-03,7.592668e+01,3.693481e+05
5242880,2658674,5242880,659,-7.512270e-03,4.051741e-02,3.881989e-05,1.648677e-03,2.363060e+01,2.203960e+05
5767168,2658684,5767168,711,-1.264761e-02,3.406326e-02,1.291836e-04,1.166205e-03,7.863718e+01,1.558990e+05
6291456,2658724,6291456,772,-1.623200e-02,2.360812e-02,2.235113e-04,5.614345e-04,1.360567e+02,7.505288e+04
6815744,2658788,6815744,827,-1.400026e-02,3.001002e-02,1.617614e-04,9.057997e-04,9.846807e+01,1.210878e+05
7340032,2658814,7340032,880,-2.567894e-02,3.058781e-02,5.952249e-04,9.409129e-04,3.623277e+02,1.257818e+05
7864320,2658856,7864320,947,-1.590223e-02,2.867000e-02,2.137596e-04,8.269358e-04,1.301206e+02,1.105452e+05
8388608,2658874,8388608,1017,-1.376507e-02,2.905799e-02,1.558342e-04,8.494005e-04,9.486003e+01,1.135483e+05
8912896,2658898,8912896,1078,-1.093430e-02,3.192922e-02,9.317249e-05,1.025006e-03,5.671633e+01,1.370233e+05
9437184,2659030,9437184,1132,-9.733001e-03,2.958027e-02,7.142431e-05,8.801168e-04,4.347770e+01,1.176545e+05
9961472,2659041,9961472,1205,-1.158565e-02,2.916658e-02,1.061712e-04,8.557418e-04,6.462898e+01,1.143960e+05
10485760,2659085,10485760,1263,-9.358618e-03,3.179011e-02,6.523645e-05,1.016118e-03,3.971099e+01,1.358351e+05
11010048,2659111,11010048,1332,-5.712894e-03,3.132496e-02,1.963540e-05,9.866795e-04,1.195254e+01,1.318998e+05
11534336,2659121,11534336,1403,-6.926935e-03,2.438970e-02,3.186856e-05,5.990840e-04,1.939916e+01,8.008588e+04
12058624,2659195,12058624,1471,-6.590447e-03,2.160962e-02,2.818269e-05,4.707210e-04,1.715548e+01,6.292624e+04
12582912,2659207,12582912,1531,-8.414184e-03,2.445325e-02,5.087218e-05,6.021989e-04,3.096712e+01,8.050227e+04
13107200,2659260,13107200,1603,-9.403441e-03,1.242974e-02,6.596251e-05,1.566560e-04,4.015297e+01,2.094186e+04
13631488,2659304,13631488,1674,-5.275163e-03,9.677892e-03,1.594767e-05,9.534315e-05,9.707730e+00,1.274552e+04
14155776,2659322,14155776,1731,-3.715537e-03,7.074492e-03,5.923512e-06,5.127967e-05,3.605784e+00,6.855094e+03
14680064,2659324,14680064,1794,-4.025005e-03,8.638629e-03,7.525667e-06,7.612770e-05,4.581055e+00,1.017679e+04
15204352,2659352,15204352,1871,-4.343586e-03,2.541903e-03,9.375083e-06,6.908451e-06,5.706839e+00,9.235255e+02
15728640,2659369,15728640,1940,-7.645573e-03,5.622075e-03,4.049875e-05,3.258772e-05,2.465257e+01,4.356343e+03
16252928,2659397,16252928,1999,-8.661041e-03,6.985342e-03,5.445453e-05,5.001080e-05,3.314778e+01,6.685472e+03
16777216,2659452,16777216,2061,-9.140027e-03,5.288856e-03,6.175314e-05,2.889435e-05,3.759062e+01,3.862612e+03
17301504,2659473,17301504,2118,-7.382477e-03,8.097736e-03,3.721936e-05,6.698156e-05,2.265632e+01,8.954132e+03
17825792,2659534,17825792,2179,-5.578423e-03,9.927497e-03,1.846175e-05,1.002799e-04,1.123811e+01,1.340548e+04
18350080,2659540,18350080,2239,-4.836410e-03,9.934174e-03,1.263589e-05,1.004137e-04,7.691773e+00,1.342336e+04
18874368,2659568,18874368,2306,-1.031395e-02,7.358879e-03,8.158130e-05,5.543352e-05,4.966050e+01,7.410383e+03
19398656,2659795,19398656,2347,-9.944270e-03,3.438690e-03,7.503995e-05,1.242690e-05,4.567862e+01,1.661234e+03
19922944,2659902,19922944,2426,-6.516329e-03,3.701548e-03,2.740123e-05,1.434923e-05,1.667979e+01,1.918213e+03
20447232,2659931,20447232,2492,-6.996118e-03,1.661461e-03,3.265445e-05,3.055333e-06,1.987755e+01,4.084386e+02
20971520,2660152,20971520,2561,-7.539531e-03,7.806846e-03,3.916032e-05,6.230475e-05,2.383783e+01,8.328934e+03
21495808,2660255,21495808,2619,-9.135894e-03,5.791168e-03,6.168820e-05,3.454687e-05,3.755109e+01,4.618244e+03
22020096,2660273,22020096,2684,-7.119749e-03,6.446312e-03,3.408270e-05,4.267750e-05,2.074696e+01,5.705152e+03
22544384,2660303,22544384,2745,-6.067202e-03,8.619256e-03,2.290094e-05,7.579002e-05,1.394035e+01,1.013165e+04
23068672,2660317,23068672,2814,-9.658156e-03,9.280067e-03,7.016484e-05,8.773239e-05,4.271103e+01,1.172811e+04
23592960,2660415,23592960,2884,-7.257775e-03,1.317037e-02,3.571336e-05,1.757444e-04,2.173958e+01,2.349360e+04
24117248,2660441,24117248,2945,-7.053645e-03,1.139304e-02,3.331524e-05,1.317796e-04,2.027979e+01,1.761637e+04
24641536,2660471,24641536,3003,-4.046099e-03,1.226492e-02,7.641846e-06,1.525572e-04,4.651775e+00,2.039394e+04
25165824,2660488,25165824,3064,-5.027418e-03,1.241234e-02,1.403033e-05,1.562207e-04,8.540597e+00,2.088367e+04
25690112,2660753,25690112,3122,-3.954131e-03,1.500249e-02,7.141833e-06,2.276772e-04,4.347405e+00,3.043601e+04
26214400,2660775,26214400,3190,-1.646673e-03,1.367622e-02,1.331977e-07,1.894121e-04,8.108065e-02,2.532071e+04
26738688,2661159,26738688,3252,-3.012400e-04,1.185450e-02,9.613213e-07,1.425873e-04,5.851794e-01,1.906114e+04
27262976,2661248,27262976,3313,-2.145962e-03,8.490301e-03,7.469313e-07,7.356134e-05,4.546750e-01,9.833720e+03
27787264,2661266,27787264,3385,-4.209235e-04,7.959146e-03,7.409535e-07,6.473226e-05,4.510362e-01,8.653443e+03
28311552,2661266,28311552,3441,-2.658088e-03,8.984984e-03,1.894417e-06,8.229164e-05,1.153177e+00,1.100079e+04
28835840,2661282,28835840,3515,-1.342183e-03,1.151563e-02,3.656926e-09,1.346092e-04,2.226059e-03,1.799462e+04
29360128,2661384,29360128,3564,-2.220906e-03,1.074474e-02,8.820884e-07,1.173155e-04,5.369484e-01,1.568280e+04
29884416,2661460,29884416,3635,-8.563327e-04,9.997896e-03,1.809458e-07,1.016948e-04,1.101461e-01,1.359462e+04
30408704,2661643,30408704,3710,-1.715357e-03,1.107846e-02,1.880497e-07,1.246562e-04,1.144704e-01,1.666411e+04
30932992,2661772,30932992,3771,-1.260739e-03,9.653405e-03,4.397803e-10,9.486556e-05,2.677049e-04,1.268168e+04
31457280,2663015,31457280,3824,8.589372e-04,9.196268e-03,4.582371e-06,8.616960e-05,2.789399e+00,1.151920e+04
31981568,2663369,31981568,3884,3.242271e-03,7.790960e-03,2.046640e-05,6.205423e-05,1.245839e+01,8.295443e+03
32505856,2663419,32505856,3947,5.924019e-04,6.191416e-03,3.512295e-06,3.941210e-05,2.138019e+00,5.268631e+03
33030144,2664151,33030144,3996,1.136184e-03,6.322276e-03,5.846211e-06,4.107228e-05,3.558729e+00,5.490564e+03
33554432,2667794,33554432,4054,1.712982e-03,5.949880e-03,8.968180e-06,3.643776e-05,5.459147e+00,4.871019e+03
34078720,2668398,34078720,4113,3.268536e-03,4.758629e-03,2.070473e-05,2.347518e-05,1.260347e+01,3.138176e+03
34603008,2668759,34603008,4177,2.568561e-03,3.183174e-03,1.482459e-05,1.069071e-05,9.024083e+00,1.429139e+03
35127296,2669216,35127296,4242,3.178321e-03,5.155841e-03,1.989187e-05,2.748203e-05,1.210866e+01,3.673813e+03
35651584,2669432,35651584,4317,4.947624e-03,3.705447e-03,3.880460e-05,1.437879e-05,2.362129e+01,1.922164e+03
36175872,2669441,36175872,4381,4.142713e-03,4.461119e-03,2.942436e-05,2.068075e-05,1.791132e+01,2.764614e+03
36700160,2669554,36700160,4435,4.236665e-03,3.960585e-03,3.045246e-05,1.637882e-05,1.853715e+01,2.189530e+03
37224448,2669680,37224448,4503,6.103576e-03,5.500074e-03,5.454245e-05,3.120970e-05,3.320130e+01,4.172130e+03
37748736,2669769,37748736,4558,6.567690e-03,5.140461e-03,6.161308e-05,2.732102e-05,3.750536e+01,3.652288e+03
38273024,2669976,38273024,4622,6.447988e-03,5.022377e-03,5.974822e-05,2.610052e-05,3.637018e+01,3.489132e+03
38797312,2670171,38797312,4693,7.284689e-03,3.303992e-03,7.338319e-05,1.149537e-05,4.467011e+01,1.536707e+03
39321600,2670208,39321600,4747,6.668434e-03,5.428820e-03,6.320479e-05,3.041865e-05,3.847428e+01,4.066382e+03
39845888,2670223,39845888,4810,4.992932e-03,5.398284e-03,3.937113e-05,3.008274e-05,2.396615e+01,4.021477e+03
40370176,2670249,40370176,4879,3.719604e-03,6.827558e-03,2.501314e-05,4.780406e-05,1.522610e+01,6.390472e+03
40894464,2670325,40894464,4945,3.936809e-03,5.766529e-03,2.723294e-05,3.425784e-05,1.657734e+01,4.579605e+03
41418752,2670407,41418752,5020,2.147912e-03,5.692192e-03,1.176231e-05,3.339317e-05,7.159999e+00,4.464017e+03
41943040,2670436,41943040,5094,2.550782e-03,4.689964e-03,1.468800e-05,2.281452e-05,8.940935e+00,3.049857e+03
42467328,2670590,42467328,5172,4.247202e-03,4.125134e-03,3.056886e-05,1.773778e-05,1.860800e+01,2.371196e+03
42991616,2670610,42991616,5245,2.732999e-03,3.156186e-03,1.611789e-05,1.051495e-05,9.811346e+00,1.405644e+03
43515904,2670725,43515904,5317,3.634797e-03,2.999375e-03,2.417204e-05,9.522562e-06,1.471410e+01,1.272981e+03
44040192,2670754,44040192,5387,3.456400e-03,3.540675e-03,2.244969e-05,1.315633e-05,1.366566e+01,1.758745e+03
