trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,503727,4456448,442812,-9.874222e-02,1.126955e-01,3.271589e-05,3.601785e-05,2.998072e-03,3.164010e-03
524288,503797,8912896,885253,-1.021625e-01,1.079306e-01,5.287814e-06,1.529260e-06,4.845734e-04,1.343388e-04
786432,503796,13369344,1327909,-1.034259e-01,1.070095e-01,1.073503e-06,9.955580e-08,9.837546e-05,8.745538e-06
1048576,503796,17825792,1769536,-1.017231e-01,1.077541e-01,7.501739e-06,1.123714e-06,6.874566e-04,9.871331e-05
1310720,503799,22282240,2211137,-1.026387e-01,1.077074e-01,3.324364e-06,1.026976e-06,3.046435e-04,9.021531e-05
1572864,503800,26738688,2651244,-1.033894e-01,1.071118e-01,1.150392e-06,1.745184e-07,1.054215e-04,1.533068e-05
1835008,503799,31195136,3091552,-1.032438e-01,1.067478e-01,1.483938e-06,2.897717e-09,1.359875e-04,2.545517e-07
2097152,503802,35651584,3533305,-1.033881e-01,1.071242e-01,1.153223e-06,1.850498e-07,1.056809e-04,1.625581e-05
2359296,503802,40108032,3975500,-1.034714e-01,1.067002e-01,9.812281e-07,3.796569e-11,8.991938e-05,3.335119e-09
2621440,503805,44564480,4417126,-1.032651e-01,1.065392e-01,1.432477e-06,2.396557e-08,1.312717e-04,2.105269e-06
2883584,503806,49020928,4859722,-1.032905e-01,1.066403e-01,1.372411e-06,2.884897e-09,1.257673e-04,2.534255e-07
3145728,503806,53477376,5303102,-1.031792e-01,1.070349e-01,1.645547e-06,1.161883e-07,1.507973e-04,1.020663e-05
3407872,503810,57933824,5746686,-1.032800e-01,1.070303e-01,1.397047e-06,1.130805e-07,1.280249e-04,9.933628e-06
3670016,503811,62390272,6188846,-1.034271e-01,1.072159e-01,1.070927e-06,2.724322e-07,9.813932e-05,2.393197e-05
3932160,503812,66846720,6631155,-1.033637e-01,1.074439e-01,1.206257e-06,5.623291e-07,1.105410e-04,4.939814e-05
4194304,503813,71303168,7072898,-1.034835e-01,1.075902e-01,9.574616e-07,8.031620e-07,8.774143e-05,7.055426e-05
4456448,503814,75759616,7511770,-1.037115e-01,1.074671e-01,5.632122e-07,5.976292e-07,5.161255e-05,5.249909e-05
4718592,503815,80216064,7954696,-1.038092e-01,1.074768e-01,4.261252e-07,6.128034e-07,3.904995e-05,5.383209e-05
4980736,503815,84672512,8395456,-1.037053e-01,1.075080e-01,5.725548e-07,6.626296e-07,5.246871e-05,5.820910e-05
5242880,503817,89128960,8839484,-1.039979e-01,1.073517e-01,2.154272e-07,4.325399e-07,1.974167e-05,3.799673e-05
5505024,503817,93585408,9280243,-1.038689e-01,1.074438e-01,3.517099e-07,5.622173e-07,3.223056e-05,4.938832e-05
5767168,503818,98041856,9722354,-1.038055e-01,1.074943e-01,4.309635e-07,6.405344e-07,3.949334e-05,5.626812e-05
6029312,503819,102498304,10166204,-1.037508e-01,1.073665e-01,5.057880e-07,4.522220e-07,4.635022e-05,3.972571e-05
6291456,503822,106954752,10609792,-1.037258e-01,1.072514e-01,5.420004e-07,3.107117e-07,4.966872e-05,2.729465e-05
6553600,503822,111411200,11049951,-1.037147e-01,1.073242e-01,5.584583e-07,3.971801e-07,5.117692e-05,3.489053e-05
6815744,503822,115867648,11491107,-1.037612e-01,1.074451e-01,4.911229e-07,5.641967e-07,4.500632e-05,4.956220e-05
7077888,503827,120324096,11933578,-1.038000e-01,1.073845e-01,4.381835e-07,4.767250e-07,4.015497e-05,4.187819e-05
7340032,503826,124780544,12376613,-1.037956e-01,1.074080e-01,4.441516e-07,5.097486e-07,4.070189e-05,4.477917e-05
7602176,503827,129236992,12818404,-1.037943e-01,1.074286e-01,4.457718e-07,5.395787e-07,4.085036e-05,4.739962e-05
7864320,503827,133693440,13261232,-1.038334e-01,1.074049e-01,3.951449e-07,5.053218e-07,3.621093e-05,4.439030e-05
8126464,503831,138149888,13705155,-1.038128e-01,1.075133e-01,4.214108e-07,6.713186e-07,3.861793e-05,5.897238e-05
8388608,503831,142606336,14146036,-1.038113e-01,1.075015e-01,4.233574e-07,6.521066e-07,3.879632e-05,5.728469e-05
8650752,503832,147062784,14587347,-1.038295e-01,1.074710e-01,4.000307e-07,6.036691e-07,3.665866e-05,5.302967e-05
8912896,503831,151519232,15030543,-1.038598e-01,1.073582e-01,3.626187e-07,4.410981e-07,3.323024e-05,3.874853e-05
