trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,511663,4456448,440945,-1.028950e-01,1.040142e-01,2.455555e-06,7.181381e-06,2.250261e-04,6.308528e-04
524288,511663,8912896,885219,-1.030451e-01,1.075091e-01,2.007519e-06,6.644139e-07,1.839683e-04,5.836584e-05
786432,511664,13369344,1327686,-1.033137e-01,1.068119e-01,1.318589e-06,1.389291e-08,1.208350e-04,1.220431e-06
1048576,511664,17825792,1769544,-1.036987e-01,1.066816e-01,5.826793e-07,1.525982e-10,5.339652e-05,1.340508e-08
1310720,511664,22282240,2212468,-1.040285e-01,1.070623e-01,1.879391e-07,1.356153e-07,1.722267e-05,1.191321e-05
1572864,511666,26738688,2654633,-1.036968e-01,1.070823e-01,5.855606e-07,1.508015e-07,5.366056e-05,1.324725e-05
1835008,511667,31195136,3098035,-1.035580e-01,1.069197e-01,8.172318e-07,5.094741e-08,7.489082e-05,4.475507e-06
2097152,511667,35651584,3539478,-1.037278e-01,1.074559e-01,5.390315e-07,5.804861e-07,4.939665e-05,5.099315e-05
2359296,511669,40108032,3979936,-1.037494e-01,1.072302e-01,5.078566e-07,2.874741e-07,4.653980e-05,2.525334e-05
2621440,511669,44564480,4420969,-1.031751e-01,1.073521e-01,1.656058e-06,4.331575e-07,1.517605e-04,3.805098e-05
2883584,511671,49020928,4863212,-1.031407e-01,1.070569e-01,1.745934e-06,1.316877e-07,1.599968e-04,1.156818e-05
3145728,511673,53477376,5308845,-1.029838e-01,1.071288e-01,2.185171e-06,1.890454e-07,2.002483e-04,1.660681e-05
3407872,511674,57933824,5752230,-1.031328e-01,1.070212e-01,1.766828e-06,1.070304e-07,1.619115e-04,9.402150e-06
3670016,511675,62390272,6193966,-1.031093e-01,1.068075e-01,1.829690e-06,1.287766e-08,1.676721e-04,1.131246e-06
3932160,511677,66846720,6635409,-1.032413e-01,1.066789e-01,1.489989e-06,2.271810e-10,1.365420e-04,1.995685e-08
4194304,511679,71303168,7076259,-1.033434e-01,1.066798e-01,1.251233e-06,2.020863e-10,1.146626e-04,1.775240e-08
4456448,511679,75759616,7516801,-1.033899e-01,1.067619e-01,1.149497e-06,4.605976e-09,1.053395e-04,4.046147e-07
4718592,511682,80216064,7959348,-1.033919e-01,1.067695e-01,1.145203e-06,5.698632e-09,1.049460e-04,5.005997e-07
4980736,511683,84672512,8399780,-1.036271e-01,1.067320e-01,6.970657e-07,1.442713e-09,6.387884e-05,1.267360e-07
5242880,511684,89128960,8842132,-1.037176e-01,1.065749e-01,5.540795e-07,1.418955e-08,5.077564e-05,1.246489e-06
5505024,511684,93585408,9287007,-1.038792e-01,1.064876e-01,3.397072e-07,4.261161e-08,3.113064e-05,3.743242e-06
