trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,256422,262144,32869,-1.034812e-01,1.050938e-01,9.619139e-07,2.560635e-06,8.814944e-05,2.249405e-04
524288,256487,524288,65749,-1.030824e-01,1.111446e-01,1.903239e-06,1.980788e-05,1.744121e-04,1.740035e-03
786432,256490,786432,98265,-1.067074e-01,1.067688e-01,5.041704e-06,5.590041e-09,4.620200e-04,4.910605e-07
1048576,256491,1048576,131097,-1.049681e-01,1.067245e-01,2.561705e-07,9.304133e-10,2.347537e-05,8.173271e-08
1310720,256491,1310720,164004,-1.051261e-01,1.068291e-01,4.410882e-07,1.826044e-08,4.042117e-05,1.604099e-06
1572864,256490,1572864,196686,-1.041660e-01,1.079612e-01,8.759638e-08,1.605839e-06,8.027300e-06,1.410659e-04
1835008,256491,1835008,229689,-1.035349e-01,1.080946e-01,8.594832e-07,1.961757e-06,7.876274e-05,1.723317e-04
2097152,256494,2097152,262530,-1.038072e-01,1.077009e-01,4.287653e-07,1.013895e-06,3.929190e-05,8.906624e-05
2359296,256497,2359296,295291,-1.037990e-01,1.075122e-01,4.395457e-07,6.694519e-07,4.027981e-05,5.880840e-05
2621440,256498,2621440,328122,-1.034197e-01,1.077052e-01,1.086294e-06,1.022436e-06,9.954759e-05,8.981647e-05
2883584,256498,2883584,360810,-1.038774e-01,1.072516e-01,3.417599e-07,3.109360e-07,3.131875e-05,2.731436e-05
3145728,256499,3145728,393386,-1.044751e-01,1.069263e-01,1.721468e-10,5.396406e-08,1.577547e-08,4.740505e-06
3407872,256499,3407872,426263,-1.046041e-01,1.071165e-01,2.019169e-08,1.785378e-07,1.850359e-06,1.568376e-05
3670016,256502,3670016,459315,-1.049943e-01,1.070706e-01,2.833425e-07,1.418366e-07,2.596541e-05,1.245972e-05
3932160,256501,3932160,492190,-1.045239e-01,1.071295e-01,3.837998e-09,1.896874e-07,3.517128e-07,1.666320e-05
4194304,256504,4194304,525040,-1.040455e-01,1.067647e-01,1.734742e-07,4.995126e-09,1.589711e-05,4.387999e-07
4456448,256508,4456448,557429,-1.040695e-01,1.066534e-01,1.540770e-07,1.651847e-09,1.411956e-05,1.451075e-07
4718592,256508,4718592,590223,-1.042897e-01,1.069384e-01,2.967262e-08,5.974297e-08,2.719188e-06,5.248157e-06
4980736,256510,4980736,622978,-1.043153e-01,1.067899e-01,2.153239e-08,9.197553e-09,1.973220e-06,8.079646e-07
5242880,256510,5242880,655963,-1.041671e-01,1.068888e-01,8.694928e-08,3.796558e-08,7.968000e-06,3.335109e-06
5505024,256511,5505024,688478,-1.040327e-01,1.071128e-01,1.843006e-07,1.753598e-07,1.688924e-05,1.540459e-05
5767168,256512,5767168,721378,-1.041106e-01,1.070922e-01,1.234500e-07,1.585721e-07,1.131291e-05,1.392987e-05
6029312,256513,6029312,754392,-1.039091e-01,1.073395e-01,3.057233e-07,4.166169e-07,2.801637e-05,3.659796e-05
6291456,256514,6291456,787140,-1.039169e-01,1.071777e-01,2.971414e-07,2.339216e-07,2.722994e-05,2.054899e-05
6553600,256518,6553600,819808,-1.037086e-01,1.071972e-01,5.676494e-07,2.531700e-07,5.201918e-05,2.223987e-05
