trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,263369,262144,32729,-1.084081e-01,1.025055e-01,1.557185e-05,1.754372e-05,1.426998e-03,1.541139e-03
524288,263369,524288,65572,-1.046274e-01,1.054495e-01,2.735072e-08,1.548781e-06,2.506410e-06,1.360536e-04
786432,263370,786432,98280,-1.040718e-01,1.057920e-01,1.522749e-07,8.136256e-07,1.395442e-05,7.147343e-05
1048576,263370,1048576,131102,-1.045242e-01,1.046884e-01,3.871303e-09,4.022579e-06,3.547648e-07,3.533658e-04
1310720,263372,1310720,163972,-1.043198e-01,1.048863e-01,2.022135e-08,3.267742e-06,1.853077e-06,2.870567e-04
1572864,263372,1572864,196681,-1.044903e-01,1.062859e-01,8.020030e-10,1.665441e-07,7.349526e-08,1.463016e-05
1835008,263372,1835008,229514,-1.040383e-01,1.068092e-01,1.795403e-07,1.326094e-08,1.645301e-05,1.164915e-06
2097152,263372,2097152,262523,-1.044328e-01,1.067419e-01,8.521364e-10,2.295817e-09,7.808946e-08,2.016774e-07
2359296,263373,2359296,295385,-1.049805e-01,1.067672e-01,2.688817e-07,5.361799e-09,2.464023e-05,4.710105e-07
2621440,263373,2621440,328282,-1.049406e-01,1.070273e-01,2.290537e-07,1.111149e-07,2.099039e-05,9.760954e-06
2883584,263375,2883584,360674,-1.046496e-01,1.063105e-01,3.519866e-08,1.470580e-07,3.225593e-06,1.291840e-05
3145728,263377,3145728,393601,-1.047241e-01,1.067135e-01,6.867506e-08,3.819239e-10,6.293358e-06,3.355034e-08
3407872,263377,3407872,426414,-1.051886e-01,1.066119e-01,5.279844e-07,6.746191e-09,4.838430e-05,5.926232e-07
3670016,263376,3670016,459223,-1.053806e-01,1.067694e-01,8.437383e-07,5.680648e-09,7.731986e-05,4.990199e-07
3932160,263380,3932160,491765,-1.057382e-01,1.069302e-01,1.628712e-06,5.579316e-08,1.492545e-04,4.901184e-06
4194304,263380,4194304,524629,-1.053031e-01,1.067417e-01,7.073799e-07,2.277291e-09,6.482404e-05,2.000500e-07
4456448,263380,4456448,557347,-1.053465e-01,1.064135e-01,7.824117e-07,7.865487e-08,7.169991e-05,6.909484e-06
4718592,263381,4718592,589893,-1.049745e-01,1.065556e-01,2.626594e-07,1.915511e-08,2.407001e-05,1.682692e-06
4980736,263382,4980736,622775,-1.048575e-01,1.064588e-01,1.564255e-07,5.532952e-08,1.433477e-05,4.860455e-06
5242880,263384,5242880,655326,-1.047861e-01,1.060577e-01,1.050506e-07,4.048422e-07,9.626802e-06,3.556361e-05
5505024,263385,5505024,687936,-1.046176e-01,1.065818e-01,2.420608e-08,1.259849e-08,2.218236e-06,1.106722e-06
5767168,263387,5767168,720661,-1.045703e-01,1.063598e-01,1.173732e-08,1.116769e-07,1.075603e-06,9.810322e-06
