trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,859277,6815744,59574,-6.242363e-02,1.195267e-01,7.143752e-03,4.379741e-03,1.463040e+01,1.538959e+00
1048576,859342,13631488,119517,-3.427853e-02,1.161718e-01,3.178211e-03,3.946947e-03,6.508974e+00,1.386883e+00
1572864,859357,20447232,179126,1.351087e-02,6.240715e-02,7.372317e-05,8.208473e-05,1.509850e-01,2.884303e-02
2097152,859429,27262976,238808,3.341130e-02,6.269390e-02,1.280114e-04,8.736291e-05,2.621672e-01,3.069769e-02
2621440,859435,34078720,299304,3.499376e-02,5.124025e-02,1.663241e-04,4.438782e-06,3.406317e-01,1.559705e-03
3145728,859499,40894464,358941,1.659626e-02,3.899777e-02,3.025916e-05,2.059028e-04,6.197074e-02,7.235040e-02
3670016,859508,47710208,418789,1.682166e-02,4.564891e-02,2.783012e-05,5.926195e-05,5.699607e-02,2.082353e-02
4194304,859536,54525952,479276,4.655193e-03,5.457030e-02,3.042198e-04,1.496252e-06,6.230420e-01,5.257550e-04
4718592,859555,61341696,539327,2.523827e-02,5.095507e-02,9.866986e-06,5.721742e-06,2.020758e-02,2.010513e-03
5242880,859574,68157440,599293,2.365084e-02,5.026929e-02,2.414138e-06,9.472815e-06,4.944154e-03,3.328570e-03
5767168,859575,74973184,658899,2.073454e-02,4.884188e-02,1.856555e-06,2.029695e-05,3.802224e-03,7.131966e-03
6291456,859586,81788928,718433,2.605267e-02,4.944389e-02,1.564659e-05,1.523493e-05,3.204420e-02,5.353270e-03
6815744,859595,88604672,778574,3.428237e-02,5.474668e-02,1.484810e-04,1.958857e-06,3.040890e-01,6.883054e-04
7340032,859596,95420416,838303,3.045911e-02,5.418231e-02,6.992337e-05,6.975883e-07,1.432030e-01,2.451194e-04
7864320,859602,102236160,897907,3.308998e-02,5.782109e-02,1.208437e-04,2.001670e-05,2.474879e-01,7.033493e-03
8388608,859608,109051904,957845,3.686284e-02,5.903707e-02,2.180272e-04,3.237594e-05,4.465196e-01,1.137630e-02
8912896,859654,115867648,1017594,3.669482e-02,6.031065e-02,2.130937e-04,4.849125e-05,4.364159e-01,1.703891e-02
9437184,859665,122683392,1077215,3.396750e-02,5.607437e-02,1.409066e-04,7.438063e-06,2.885766e-01,2.613596e-03
9961472,859674,129499136,1136599,3.420071e-02,5.539466e-02,1.464977e-04,4.192567e-06,3.000272e-01,1.473189e-03
10485760,859682,136314880,1196401,3.410641e-02,5.382792e-02,1.442238e-04,2.311945e-07,2.953702e-01,8.123743e-05
11010048,859696,143130624,1256812,3.519953e-02,5.515229e-02,1.716739e-04,3.258738e-06,3.515881e-01,1.145059e-03
11534336,859750,149946368,1316776,3.185064e-02,5.244184e-02,9.513180e-05,8.194830e-07,1.948299e-01,2.879509e-04
12058624,859757,156762112,1376987,2.985772e-02,5.141050e-02,6.022745e-05,3.750375e-06,1.233458e-01,1.317811e-03
12582912,859769,163577856,1436569,2.989180e-02,5.470905e-02,6.075750e-05,1.854942e-06,1.244313e-01,6.517917e-04
13107200,859789,170393600,1496014,2.982972e-02,5.815224e-02,5.979354e-05,2.308944e-05,1.224571e-01,8.113197e-03
13631488,859793,177209344,1556112,3.131539e-02,5.845368e-02,8.497698e-05,2.607727e-05,1.740328e-01,9.163063e-03
14155776,859796,184025088,1616672,3.240592e-02,5.667354e-02,1.062721e-04,1.106527e-05,2.176451e-01,3.888127e-03
14680064,859803,190840832,1676773,3.312543e-02,5.909582e-02,1.216244e-04,3.304790e-05,2.490866e-01,1.161241e-02
15204352,859831,197656576,1737130,3.347224e-02,5.791076e-02,1.293940e-04,2.082709e-05,2.649989e-01,7.318249e-03
15728640,859843,204472320,1796539,3.354765e-02,5.704333e-02,1.311153e-04,1.366219e-05,2.685241e-01,4.800638e-03
16252928,859867,211288064,1856650,3.411943e-02,5.803064e-02,1.445366e-04,2.193564e-05,2.960108e-01,7.707774e-03
16777216,859875,218103808,1916958,3.077323e-02,5.683861e-02,7.527546e-05,1.219072e-05,1.541641e-01,4.283589e-03
17301504,859880,224919552,1976693,3.034656e-02,5.840469e-02,6.805384e-05,2.557935e-05,1.393742e-01,8.988103e-03
17825792,859888,231735296,2036314,2.997917e-02,5.639133e-02,6.212717e-05,9.267398e-06,1.272364e-01,3.256390e-03
18350080,859890,238551040,2096404,3.057659e-02,5.570659e-02,7.190199e-05,5.567267e-06,1.472552e-01,1.956233e-03
18874368,859905,245366784,2156552,2.782782e-02,5.288337e-02,3.284128e-05,2.150366e-07,6.725893e-02,7.555984e-05
19398656,859907,252182528,2216685,2.616056e-02,5.304662e-02,1.651182e-05,9.028267e-08,3.381620e-02,3.172363e-05
19922944,859907,258998272,2276786,2.769477e-02,5.368011e-02,3.133405e-05,1.109039e-07,6.417211e-02,3.896954e-05
20447232,859925,265814016,2336723,2.584508e-02,5.483064e-02,1.404745e-05,2.200927e-06,2.876916e-02,7.733644e-04
20971520,859981,272629760,2396433,2.639498e-02,5.531332e-02,1.847182e-05,3.866063e-06,3.783029e-02,1.358462e-03
21495808,860025,279445504,2456343,2.431742e-02,5.732142e-02,4.929869e-06,1.579533e-05,1.009637e-02,5.550181e-03
22020096,860028,286261248,2516694,2.381568e-02,5.729752e-02,2.953558e-06,1.560591e-05,6.048885e-03,5.483625e-03
22544384,860030,293076992,2577085,2.450882e-02,5.771808e-02,5.816445e-06,1.910560e-05,1.191207e-02,6.713348e-03
23068672,860053,299892736,2637138,2.662575e-02,5.843243e-02,2.050876e-05,2.586066e-05,4.200194e-02,9.086951e-03
23592960,860054,306708480,2697356,2.444300e-02,6.066065e-02,5.503312e-06,5.348817e-05,1.127078e-02,1.879474e-02
24117248,860132,313524224,2757152,2.553652e-02,5.932750e-02,1.182967e-05,3.576530e-05,2.422715e-02,1.256725e-02
24641536,860141,320339968,2817584,2.697238e-02,5.943475e-02,2.376845e-05,3.705961e-05,4.867776e-02,1.302205e-02
25165824,860147,327155712,2877492,2.567359e-02,5.989608e-02,1.279138e-05,4.288926e-05,2.619674e-02,1.507048e-02
