trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,342026,524288,1037,3.224379e-01,6.171479e-02,9.020460e-02,7.001838e-05,1.847390e+02,2.460315e-02
1048576,342199,1048576,2054,-1.310793e-01,-2.455860e-01,2.346302e-02,8.936101e-02,4.805226e+01,3.139978e+01
1572864,342213,1572864,3053,-1.502563e-01,4.029442e-02,2.970570e-02,1.703722e-04,6.083726e+01,5.986558e-02
2097152,342250,2097152,4097,1.963377e-04,1.625256e-01,4.796430e-04,1.191995e-02,9.823086e-01,4.188448e+00
2621440,342263,2621440,5137,6.995244e-02,1.523666e-01,2.290135e-03,9.804863e-03,4.690196e+00,3.445245e+00
3145728,342304,3145728,6162,6.713067e-02,1.182885e-01,2.028023e-03,4.217386e-03,4.153391e+00,1.481910e+00
3670016,342355,3670016,7207,-3.362144e-02,2.238679e-01,3.104555e-03,2.907734e-02,6.358126e+00,1.021723e+01
4194304,342378,4194304,8253,-6.528585e-02,2.923796e-01,7.635777e-03,5.713655e-02,1.563807e+01,2.007671e+01
4718592,342383,4718592,9222,-4.489825e-02,2.624355e-01,4.488375e-03,4.371795e-02,9.192190e+00,1.536167e+01
5242880,342388,5242880,10225,-8.548530e-02,1.813609e-01,1.157397e-02,1.638753e-02,2.370348e+01,5.758270e+00
5767168,342567,5767168,11241,-5.072530e-02,1.575694e-01,5.303100e-03,1.086229e-02,1.086074e+01,3.816803e+00
6291456,342570,6291456,12295,-4.553939e-03,1.871456e-01,7.102773e-04,1.790203e-02,1.454648e+00,6.290439e+00
6815744,342576,6815744,13364,-1.885209e-03,2.273842e-01,5.751507e-04,3.028890e-02,1.177908e+00,1.064295e+01
7340032,342587,7340032,14396,1.835610e-03,2.309609e-01,4.105276e-04,3.154666e-02,8.407604e-01,1.108490e+01
7864320,342613,7864320,15439,-1.766863e-02,2.519695e-01,1.581312e-03,3.945085e-02,3.238526e+00,1.386229e+01
8388608,342631,8388608,16473,-3.734974e-02,2.368628e-01,3.533926e-03,3.367802e-02,7.237478e+00,1.183383e+01
8912896,342698,8912896,17504,-3.654490e-02,2.336167e-01,3.438883e-03,3.249713e-02,7.042830e+00,1.141888e+01
9437184,342726,9437184,18452,-4.791309e-02,1.981994e-01,4.901425e-03,2.098220e-02,1.003812e+01,7.372751e+00
9961472,342730,9961472,19499,-5.060774e-02,2.031107e-01,5.285992e-03,2.242913e-02,1.082571e+01,7.881176e+00
10485760,342772,10485760,20514,-4.979689e-02,2.025752e-01,5.168745e-03,2.226903e-02,1.058559e+01,7.824920e+00
11010048,342806,11010048,21520,-3.245440e-02,2.153933e-01,2.975865e-03,2.625898e-02,6.094570e+00,9.226912e+00
11534336,342888,11534336,22519,-2.527648e-02,2.092757e-01,2.244255e-03,2.431373e-02,4.596232e+00,8.543388e+00
12058624,342941,12058624,23546,-2.257155e-02,1.940968e-01,1.995287e-03,1.981048e-02,4.086347e+00,6.961029e+00
