trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,340179,524288,1054,4.469776e-01,-4.183860e-02,1.805234e-01,9.060314e-03,3.697119e+02,3.183624e+00
1048576,340193,1048576,2095,5.012726e-01,4.860795e-02,2.296092e-01,2.245948e-05,4.702394e+02,7.891838e-03
1572864,340398,1572864,3111,2.137583e-01,-8.102267e-02,3.673402e-02,1.805523e-02,7.523124e+01,6.344269e+00
2097152,340431,2097152,4118,3.025616e-01,-7.276336e-02,7.866037e-02,1.590385e-02,1.610964e+02,5.588313e+00
2621440,340502,2621440,5144,2.416051e-01,-5.606604e-02,4.818378e-02,1.197123e-02,9.868034e+01,4.206467e+00
3145728,340503,3145728,6188,2.205146e-01,-3.394016e-02,3.936950e-02,7.619063e-03,8.062871e+01,2.677196e+00
3670016,340519,3670016,7193,1.935697e-01,-9.226630e-03,2.940284e-02,3.915470e-03,6.021701e+01,1.375823e+00
4194304,340527,4194304,8251,9.791692e-02,-3.017037e-02,5.748646e-03,6.975166e-03,1.177322e+01,2.450943e+00
4718592,340536,4718592,9302,3.863681e-02,4.883664e-02,2.735625e-04,2.034414e-05,5.602558e-01,7.148548e-03
5242880,340568,5242880,10295,3.035372e-02,4.018077e-02,6.817192e-05,1.733519e-04,1.396160e-01,6.091260e-02
5767168,340594,5767168,11349,2.291689e-02,4.802212e-02,6.720697e-07,2.835532e-05,1.376398e-03,9.963525e-03
6291456,340602,6291456,12366,2.192786e-02,2.068656e-02,2.863837e-08,1.066710e-03,5.865137e-05,3.748219e-01
6815744,340702,6815744,13427,-2.196163e-02,5.944207e-02,1.941171e-03,3.714879e-05,3.975516e+00,1.305339e-02
7340032,340754,7340032,14505,-1.230964e-02,5.723686e-02,1.183823e-03,1.513033e-05,2.424469e+00,5.316515e-03
7864320,340760,7864320,15590,2.267659e-02,5.316832e-02,3.358209e-07,3.195844e-08,6.877610e-04,1.122959e-05
8388608,340766,8388608,16588,2.572704e-04,5.767812e-02,4.769777e-04,1.875785e-05,9.768500e-01,6.591158e-03
8912896,340778,8912896,17633,1.768187e-04,5.495434e-02,4.804983e-04,2.583254e-06,9.840602e-01,9.077070e-04
9437184,340781,9437184,18655,-2.270167e-03,8.979037e-02,5.937633e-04,1.328113e-03,1.216027e+00,4.666740e-01
9961472,340791,9961472,19654,-2.990170e-03,6.902339e-02,6.293706e-04,2.457463e-04,1.288951e+00,8.635063e-02
10485760,340813,10485760,20668,-1.685716e-02,6.934442e-02,1.517434e-03,2.559145e-04,3.107703e+00,8.992355e-02
11010048,340821,11010048,21682,-1.694163e-02,4.916905e-02,1.524021e-03,1.745598e-05,3.121195e+00,6.133705e-03
11534336,340825,11534336,22686,-3.969520e-02,4.650327e-02,3.818287e-03,4.683782e-05,7.819851e+00,1.645793e-02
12058624,340847,12058624,23713,-3.210245e-02,5.210491e-02,2.937591e-03,1.543010e-06,6.016185e+00,5.421846e-04
12582912,340876,12582912,24697,-3.772207e-02,4.986844e-02,3.578332e-03,1.210101e-05,7.328422e+00,4.252066e-03
13107200,340883,13107200,25728,-3.299397e-02,6.950281e-02,3.035025e-03,2.610073e-04,6.215729e+00,9.171306e-02
13631488,340905,13631488,26807,-1.339200e-02,8.211509e-02,1.259475e-03,8.275980e-04,2.579404e+00,2.908024e-01
14155776,340935,14155776,27848,1.256681e-03,6.358217e-02,4.343226e-04,1.047568e-04,8.894925e-01,3.680959e-02
14680064,340941,14680064,28846,-1.077774e-02,7.027959e-02,1.080754e-03,2.867096e-04,2.213385e+00,1.007444e-01
15204352,340953,15204352,29828,-2.563424e-02,7.468679e-02,2.278279e-03,4.553828e-04,4.665915e+00,1.600129e-01
15728640,340962,15728640,30770,-3.360775e-02,5.860772e-02,3.103029e-03,2.767424e-05,6.355002e+00,9.724210e-03
16252928,340990,16252928,31768,-2.756979e-02,6.154869e-02,2.466799e-03,6.726629e-05,5.052002e+00,2.363611e-02
16777216,341000,16777216,32771,-1.995608e-02,6.617520e-02,1.768469e-03,1.645604e-04,3.621823e+00,5.782345e-02
17301504,341006,17301504,33790,-9.001987e-03,5.806218e-02,9.671526e-04,2.223206e-05,1.980728e+00,7.811930e-03
17825792,341010,17825792,34749,2.380593e-03,5.471615e-02,3.887403e-04,1.874333e-06,7.961398e-01,6.586054e-04
18350080,341077,18350080,35786,9.649638e-03,6.149107e-02,1.549391e-04,6.632447e-05,3.173151e-01,2.330517e-02
18874368,341161,18874368,36739,1.352028e-02,5.850272e-02,7.356171e-05,2.658052e-05,1.506543e-01,9.339897e-03
19398656,341189,19398656,37742,8.295873e-03,4.742974e-02,1.904736e-04,3.501501e-05,3.900898e-01,1.230362e-02
19922944,341202,19922944,38790,9.859846e-03,5.300996e-02,1.497502e-04,1.136550e-07,3.066882e-01,3.993624e-05
20447232,341207,20447232,39794,2.566947e-02,4.617090e-02,1.276190e-05,5.149766e-05,2.613636e-02,1.809531e-02
20971520,341218,20971520,40790,2.386399e-02,5.472336e-02,3.121947e-06,1.894123e-06,6.393746e-03,6.655591e-04
21495808,341413,21495808,41838,1.754634e-02,5.251483e-02,2.070935e-05,6.926624e-07,4.241275e-02,2.433886e-04
22020096,341450,22020096,42840,6.132911e-03,4.728892e-02,2.548550e-04,3.670135e-05,5.219429e-01,1.289617e-02
22544384,341461,22544384,43804,3.369212e-03,4.122666e-02,3.507334e-04,1.469047e-04,7.183018e-01,5.161956e-02
23068672,341728,23068672,44813,-3.921030e-03,4.455105e-02,6.769426e-04,7.737026e-05,1.386378e+00,2.718645e-02
23592960,341741,23592960,45870,3.676630e-04,3.974159e-02,4.721680e-04,1.851097e-04,9.669997e-01,6.504406e-02
24117248,341794,24117248,46871,-6.831755e-03,2.773668e-02,8.368781e-04,6.558928e-04,1.713926e+00,2.304684e-01
24641536,341822,24641536,47866,5.815788e-03,2.701576e-02,2.650808e-04,6.933390e-04,5.428853e-01,2.436263e-01
25165824,341835,25165824,48871,1.246512e-02,1.781787e-02,9.277478e-05,1.262325e-03,1.900027e-01,4.435574e-01
25690112,341852,25690112,49837,1.404663e-02,3.146198e-03,6.480999e-05,2.520129e-03,1.327308e-01,8.855262e-01
26214400,341881,26214400,50879,1.705804e-02,5.147835e-03,2.539200e-05,2.323168e-03,5.200280e-02,8.163176e-01
26738688,341928,26738688,51866,1.880923e-02,9.478410e-03,1.080999e-05,1.924461e-03,2.213886e-02,6.762195e-01
