trueR,trueI
9.153000e-03,-2.209700e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
33554432,78579241,503316480,3315027,2.774033e-01,-2.392719e-01,7.195820e-02,4.716494e-02,8.589212e+02,9.659455e+01
67108864,78587721,1006632960,6631984,5.663608e-02,3.170284e-03,2.254643e-03,6.384357e-04,2.691230e+01,1.307526e+00
100663296,78588745,1509949440,9948388,5.199319e-02,-6.783145e-02,1.835282e-03,2.091640e-03,2.190664e+01,4.283712e+00
134217728,78642147,2013265920,13266199,5.837427e-02,-9.162454e-02,2.422733e-03,4.834078e-03,2.891869e+01,9.900270e+00
167772160,78649838,2516582400,16582619,1.203888e-02,-6.049532e-03,8.328298e-06,2.575213e-04,9.940982e-02,5.274077e-01
201326592,78651580,3019898880,19898665,2.691140e-03,-4.692836e-02,4.175564e-05,6.165967e-04,4.984117e-01,1.262800e+00
234881024,78651932,3523215360,23217320,2.607775e-02,-8.225361e-02,2.864470e-04,3.618818e-03,3.419144e+00,7.411398e+00
268435456,78652192,4026531840,26537559,4.743503e-02,-1.263278e-01,1.465514e-03,1.086407e-02,1.749295e+01,2.224979e+01
301989888,78652921,4529848320,29854798,1.975468e-02,-1.082136e-01,1.123956e-04,7.416063e-03,1.341598e+00,1.518822e+01
335544320,78653839,5033164800,33173174,-1.405165e-02,-1.031371e-01,5.384558e-04,6.567505e-03,6.427219e+00,1.345036e+01
369098752,78654156,5536481280,36489167,-5.311781e-02,-1.038842e-01,3.877654e-03,6.689149e-03,4.628520e+01,1.369948e+01
402653184,78656554,6039797760,39806337,-3.272658e-02,-1.076079e-01,1.753899e-03,7.312109e-03,2.093523e+01,1.497532e+01
436207616,78660553,6543114240,43127347,-3.685640e-02,-8.572415e-02,2.116865e-03,4.048415e-03,2.526773e+01,8.291218e+00
469762048,78663262,7046430720,46442742,-3.037473e-02,-8.928949e-02,1.562442e-03,4.514830e-03,1.864992e+01,9.246445e+00
503316480,78665299,7549747200,49760605,-1.728943e-02,-5.720245e-02,6.992022e-04,1.232393e-03,8.345951e+00,2.523960e+00
536870912,78665897,8053063680,53077823,-2.525339e-02,-6.047834e-02,1.183799e-03,1.473127e-03,1.413029e+01,3.016988e+00
570425344,78666458,8556380160,56397531,-3.179958e-03,-4.999994e-02,1.521019e-04,7.785743e-04,1.815547e+00,1.594532e+00
603979776,78667435,9059696640,59716677,-3.973524e-03,-6.010392e-02,1.723056e-04,1.444526e-03,2.056708e+00,2.958412e+00
637534208,78667721,9563013120,63035501,-1.864531e-02,-4.466818e-02,7.727460e-04,5.094581e-04,9.223801e+00,1.043378e+00
671088640,78667928,10066329600,66355005,-1.565793e-02,-2.891103e-02,6.155822e-04,4.643097e-05,7.347830e+00,9.509136e-02
704643072,78670608,10569646080,69672801,-1.789717e-02,-2.663274e-02,7.317116e-04,2.057292e-05,8.733996e+00,4.213367e-02
738197504,78672891,11072962560,72990176,-1.307070e-02,-2.534145e-02,4.938930e-04,1.052643e-05,5.895301e+00,2.155830e-02
