trueR,trueI
9.153000e-03,-2.209700e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
33554432,80921700,503316480,3317512,-1.910795e-01,2.002951e-01,4.009307e-02,4.945823e-02,4.785666e+02,1.012912e+02
67108864,80933115,1006632960,6635412,-2.999009e-01,4.078915e-02,9.551433e-02,3.954668e-03,1.140097e+03,8.099223e+00
100663296,80939730,1509949440,9955965,-1.413922e-01,9.462197e-03,2.266384e-02,9.959830e-04,2.705245e+02,2.039789e+00
134217728,80947783,2013265920,13275600,-1.937546e-01,1.818852e-02,4.117151e-02,1.622923e-03,4.914393e+02,3.323772e+00
167772160,80948416,2516582400,16593456,-1.334862e-01,-3.163753e-02,2.034594e-02,9.102178e-05,2.428571e+02,1.864141e-01
201326592,80948845,3019898880,19910031,-2.958168e-02,1.617432e-02,1.500375e-03,1.464694e-03,1.790907e+01,2.999716e+00
234881024,80950532,3523215360,23228234,-5.508519e-02,-8.010264e-03,4.126545e-03,1.984361e-04,4.925606e+01,4.064004e-01
268435456,80950740,4026531840,26547295,-8.075549e-02,-2.020202e-02,8.083536e-03,3.590966e-06,9.648826e+01,7.354355e-03
301989888,80953949,4529848320,29865346,-5.798888e-02,-6.131184e-02,4.508032e-03,1.537804e-03,5.380964e+01,3.149447e+00
335544320,80954802,5033164800,33183409,-4.156717e-02,-6.597767e-02,2.572535e-03,1.925513e-03,3.070679e+01,3.943482e+00
369098752,80955395,5536481280,36501435,-5.177786e-02,-3.328266e-02,3.712570e-03,1.251190e-04,4.431469e+01,2.562456e-01
402653184,80955859,6039797760,39816431,-4.995316e-02,-3.887746e-02,3.493538e-03,2.815840e-04,4.170024e+01,5.766885e-01
436207616,80961127,6543114240,43135577,-8.139201e-02,-1.817921e-02,8.198398e-03,1.534911e-05,9.785929e+01,3.143523e-02
469762048,80963516,7046430720,46450788,-8.186594e-02,-1.301696e-03,8.284449e-03,4.324447e-04,9.888642e+01,8.856536e-01
503316480,80966496,7549747200,49770627,-6.708869e-02,1.021465e-02,5.812796e-03,1.044043e-03,6.938381e+01,2.138216e+00
536870912,80966959,8053063680,53089858,-7.232603e-02,-7.131046e-03,6.638833e-03,2.239798e-04,7.924371e+01,4.587143e-01
570425344,80967392,8556380160,56406459,-5.854094e-02,-1.879201e-02,4.582469e-03,1.092297e-05,5.469814e+01,2.237042e-02
603979776,80968037,9059696640,59726131,-5.790410e-02,-1.468037e-02,4.496654e-03,5.500640e-05,5.367382e+01,1.126540e-01
637534208,80968113,9563013120,63044858,-5.309450e-02,-1.553250e-02,3.874751e-03,4.309262e-05,4.625055e+01,8.825437e-02
671088640,80969305,10066329600,66362066,-5.846925e-02,-1.774236e-03,4.572769e-03,4.130148e-04,5.458236e+01,8.458607e-01
704643072,80970463,10569646080,69677100,-3.751139e-02,-1.776169e-02,2.177565e-03,1.879493e-05,2.599227e+01,3.849232e-02
738197504,80971539,11072962560,72995241,-3.335864e-02,-1.165552e-02,1.807240e-03,1.090245e-04,2.157192e+01,2.232838e-01
771751936,80971571,11576279040,76313806,-3.339210e-02,-2.689995e-02,1.810085e-03,2.306836e-05,2.160589e+01,4.724437e-02
805306368,80971878,12079595520,79630847,-4.403586e-02,-3.978765e-02,2.829055e-03,3.129592e-04,3.376871e+01,6.409454e-01
838860800,80972687,12582912000,82946337,-2.973620e-02,-3.041485e-02,1.512370e-03,6.918667e-05,1.805224e+01,1.416954e-01
872415232,80973682,13086228480,86264707,-2.360348e-02,-2.842798e-02,1.072987e-03,4.008136e-05,1.280759e+01,8.208726e-02
905969664,80974627,13589544960,89582609,-2.426697e-02,-2.018247e-02,1.116895e-03,3.665443e-06,1.333169e+01,7.506886e-03
939524096,80975113,14092861440,92901723,-2.133166e-02,-3.088705e-02,9.293146e-04,7.726501e-05,1.109266e+01,1.582400e-01
973078528,80975934,14596177920,96217845,-2.728940e-02,-3.481100e-02,1.328048e-03,1.616459e-04,1.585211e+01,3.310534e-01
1006632960,80978751,15099494400,99534001,-1.827317e-02,-3.222750e-02,7.521947e-04,1.026270e-04,8.978491e+00,2.101817e-01
1040187392,80978772,15602810880,102852276,-2.599776e-02,-3.504303e-02,1.235576e-03,1.675998e-04,1.474832e+01,3.432471e-01
1073741824,80979585,16106127360,106166974,-2.879042e-02,-4.064512e-02,1.439703e-03,3.440328e-04,1.718486e+01,7.045847e-01
1107296256,80979616,16609443840,109484956,-3.970515e-02,-3.418514e-02,2.387119e-03,1.461231e-04,2.849359e+01,2.992623e-01
1140850688,80980146,17112760320,112805538,-4.408981e-02,-4.116007e-02,2.834797e-03,3.634007e-04,3.383724e+01,7.442504e-01
1174405120,80980733,17616076800,116122254,-3.673881e-02,-4.169818e-02,2.106058e-03,3.842064e-04,2.513874e+01,7.868608e-01
1207959552,80980935,18119393280,119441258,-4.758542e-02,-3.806143e-02,3.219248e-03,2.548631e-04,3.842620e+01,5.219637e-01
1241513984,80982146,18622709760,122760348,-4.873020e-02,-2.974064e-02,3.350465e-03,5.842523e-05,3.999246e+01,1.196558e-01
1275068416,80983106,19126026240,126075630,-4.980936e-02,-3.495775e-02,3.476559e-03,1.653989e-04,4.149757e+01,3.387396e-01
1308622848,80984650,19629342720,129394296,-5.269566e-02,-3.616548e-02,3.825257e-03,1.979221e-04,4.565976e+01,4.053476e-01
1342177280,80984863,20132659200,132711573,-5.288858e-02,-3.066488e-02,3.849158e-03,7.340855e-05,4.594506e+01,1.503419e-01
1375731712,80985124,20635975680,136029137,-5.147824e-02,-2.502988e-02,3.676148e-03,8.601807e-06,4.387994e+01,1.761664e-02
1409286144,80985723,21139292160,139345590,-5.719265e-02,-2.941032e-02,4.401745e-03,5.348463e-05,5.254095e+01,1.095374e-01
1442840576,80987233,21642608640,142664335,-5.602026e-02,-1.994974e-02,4.247553e-03,4.610738e-06,5.070045e+01,9.442865e-03
1476395008,80987571,22145925120,145979535,-4.983357e-02,-1.416136e-02,3.479416e-03,6.297445e-05,4.153167e+01,1.289727e-01
1509949440,80990075,22649241600,149297004,-4.809592e-02,-1.824157e-02,3.277439e-03,1.486432e-05,3.912080e+01,3.044237e-02
1543503872,80990320,23152558080,152616754,-4.059846e-02,-6.973793e-03,2.475207e-03,2.287114e-04,2.954505e+01,4.684046e-01
1577058304,80991708,23655874560,155937286,-4.231451e-02,-1.402011e-03,2.648904e-03,4.282826e-04,3.161836e+01,8.771296e-01
1610612736,80992648,24159191040,159254414,-3.411263e-02,-5.356726e-03,1.871915e-03,2.802368e-04,2.234391e+01,5.739293e-01
1644167168,80993278,24662507520,162573663,-3.525050e-02,-6.231338e-03,1.971671e-03,2.517193e-04,2.353464e+01,5.155251e-01
1677721600,80995566,25165824000,165891563,-3.704872e-02,-8.699324e-03,2.134599e-03,1.794977e-04,2.547941e+01,3.676142e-01
1711276032,81003001,25669140480,169210056,-3.831488e-02,-7.713762e-03,2.253200e-03,2.068776e-04,2.689508e+01,4.236886e-01
1744830464,81006888,26172456960,172529280,-3.217746e-02,-7.401672e-03,1.708207e-03,2.159527e-04,2.038983e+01,4.422746e-01
