trueR,trueI
9.153000e-03,-2.209700e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
33554432,31905696,33554432,16345,1.809469e+00,3.261369e+00,3.241138e+00,1.078115e+01,3.868749e+04,2.207996e+04
67108864,31914065,67108864,32825,-8.257123e-01,2.424092e+00,6.970000e-01,5.983842e+00,8.319665e+03,1.225500e+04
100663296,31918242,100663296,49293,-4.072587e-01,1.190116e+00,1.733987e-01,1.469460e+00,2.069755e+03,3.009477e+03
134217728,31919150,134217728,65413,-1.648865e-01,1.577758e+00,3.028974e-02,2.559536e+00,3.615502e+02,5.241971e+03
167772160,31920135,167772160,81790,8.968966e-02,9.762996e-01,6.486153e-03,9.967957e-01,7.742126e+01,2.041453e+03
201326592,31923737,201326592,98387,3.370641e-02,8.417633e-01,6.028698e-04,7.462545e-01,7.196090e+00,1.528341e+03
234881024,31927481,234881024,114869,-6.196217e-01,1.166911e+00,3.953576e-01,1.413740e+00,4.719144e+03,2.895362e+03
268435456,31931147,268435456,131302,-8.349887e-01,8.464576e-01,7.125751e-01,7.543871e-01,8.505575e+03,1.544997e+03
301989888,31932156,301989888,147787,-1.230700e+00,6.471385e-01,1.537236e+00,4.478761e-01,1.834906e+04,9.172574e+02
335544320,31932327,335544320,164380,-1.036146e+00,7.626020e-01,1.092649e+00,6.157525e-01,1.304229e+04,1.261071e+03
369098752,31935333,369098752,180757,-1.219109e+00,9.103355e-01,1.508628e+00,8.694304e-01,1.800758e+04,1.780607e+03
402653184,31935368,402653184,197144,-1.072014e+00,8.678946e-01,1.168922e+00,7.920851e-01,1.395272e+04,1.622203e+03
436207616,31935463,436207616,213495,-1.317337e+00,1.080017e+00,1.759576e+00,1.214656e+00,2.100299e+04,2.487634e+03
469762048,31935953,469762048,229672,-6.023620e-01,7.626994e-01,3.739506e-01,6.159054e-01,4.463621e+03,1.261384e+03
503316480,31936842,503316480,246289,-6.250259e-01,6.811696e-01,4.021829e-01,4.945839e-01,4.800613e+03,1.012916e+03
536870912,31937471,536870912,262996,-4.005638e-01,4.849463e-01,1.678679e-01,2.570930e-01,2.003737e+03,5.265305e+02
570425344,31937498,570425344,279707,-5.246813e-01,1.866551e-01,2.849791e-01,4.357744e-02,3.401622e+03,8.924730e+01
603979776,31938820,603979776,296015,-3.980063e-01,-1.616505e-03,1.657787e-01,4.194507e-04,1.978800e+03,8.590418e-01
637534208,31940292,637534208,312322,-4.303714e-01,3.052676e-01,1.931817e-01,1.071676e-01,2.305892e+03,2.194809e+02
671088640,31942084,671088640,328690,-1.724658e-01,2.984045e-01,3.298539e-02,1.027212e-01,3.937265e+02,2.103746e+02
704643072,31942415,704643072,345115,-1.661643e-01,2.528027e-01,3.073616e-02,7.556984e-02,3.668788e+02,1.547682e+02
738197504,31943132,738197504,361215,3.240637e-02,2.830982e-01,5.407194e-04,9.314412e-02,6.454238e+00,1.907606e+02
771751936,31944221,771751936,377672,2.017275e-02,2.349524e-01,1.214348e-04,6.607442e-02,1.449494e+00,1.353215e+02
805306368,31945138,805306368,393907,1.509238e-01,3.495737e-01,2.009896e-02,1.381391e-01,2.399091e+02,2.829111e+02
838860800,31945725,838860800,410356,7.969847e-02,4.915722e-01,4.976664e-03,2.638561e-01,5.940341e+01,5.403814e+02
872415232,31947957,872415232,426798,1.669335e-01,5.332242e-01,2.489468e-02,3.083816e-01,2.971526e+02,6.315704e+02
905969664,31947963,905969664,443293,2.695028e-01,6.326580e-01,6.778204e-02,4.287041e-01,8.090730e+02,8.779928e+02
939524096,31948230,939524096,459688,2.453648e-01,5.674185e-01,5.579603e-02,3.475285e-01,6.660033e+02,7.117438e+02
973078528,31952946,973078528,476060,2.563454e-01,5.548221e-01,6.110407e-02,3.328357e-01,7.293621e+02,6.816528e+02
1006632960,31953101,1006632960,492260,2.057585e-01,5.900939e-01,3.865373e-02,3.747776e-01,4.613860e+02,7.675505e+02
1040187392,31953150,1040187392,508762,1.705827e-01,8.057086e-01,2.605955e-02,6.852621e-01,3.110570e+02,1.403428e+03
1073741824,31953832,1073741824,525014,1.686759e-01,8.520239e-01,2.544757e-02,7.640873e-01,3.037521e+02,1.564863e+03
1107296256,31961018,1107296256,541260,3.040442e-01,8.519275e-01,8.696084e-02,7.639188e-01,1.037999e+03,1.564518e+03
1140850688,31961252,1140850688,557896,2.886759e-01,6.956568e-01,7.813305e-02,5.151705e-01,9.326266e+02,1.055077e+03
1174405120,31963446,1174405120,574209,2.381388e-01,6.545613e-01,5.243450e-02,4.578664e-01,6.258787e+02,9.377177e+02
1207959552,31963843,1207959552,590720,1.470608e-01,5.825596e-01,1.901857e-02,3.656096e-01,2.270132e+02,7.487744e+02
