trueR,trueI
9.153000e-03,-2.209700e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
33554432,32411008,33554432,16658,-5.018523e+00,-1.639905e-01,2.527753e+01,2.013377e-02,3.017225e+05,4.123429e+01
67108864,32412441,67108864,32780,-1.652569e+00,1.780170e+00,2.761319e+00,3.248165e+00,3.296018e+04,6.652294e+03
100663296,32412865,100663296,49263,-9.439816e-01,3.098463e+00,9.084657e-01,9.737897e+00,1.084380e+04,1.994337e+04
134217728,32413270,134217728,65729,4.146568e-01,2.159230e+00,1.644333e-01,4.758188e+00,1.962740e+03,9.744845e+03
167772160,32415113,167772160,82063,1.114123e+00,1.735151e+00,1.220959e+00,3.087919e+00,1.457384e+04,6.324108e+03
201326592,32415730,201326592,98406,4.459384e-01,1.163535e+00,1.907815e-01,1.405724e+00,2.277242e+03,2.878945e+03
234881024,32416078,234881024,114775,4.313944e-01,8.195106e-01,1.782878e-01,7.083034e-01,2.128113e+03,1.450617e+03
268435456,32416683,268435456,131245,4.754711e-01,6.294013e-01,2.174526e-01,4.244501e-01,2.595599e+03,8.692805e+02
301989888,32417947,301989888,147492,2.830245e-01,7.645456e-01,7.500557e-02,6.188065e-01,8.952959e+02,1.267326e+03
335544320,32419159,335544320,163954,2.106963e-01,6.781418e-01,4.061969e-02,4.903344e-01,4.848525e+02,1.004213e+03
369098752,32423243,369098752,180409,6.884844e-01,8.405060e-01,4.614912e-01,7.440838e-01,5.508540e+03,1.523896e+03
402653184,32423384,402653184,196697,1.098768e+00,8.267086e-01,1.187262e+00,7.204708e-01,1.417162e+04,1.475536e+03
436207616,32425002,436207616,213082,1.278950e+00,8.104056e-01,1.612384e+00,6.930606e-01,1.924605e+04,1.419399e+03
469762048,32426578,469762048,229615,1.552805e+00,9.114966e-01,2.382862e+00,8.715969e-01,2.844277e+04,1.785044e+03
