trueR,trueI
-4.419417e-02,1.066942e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,393214,4718592,190812,-4.237620e-02,1.078630e-01,3.305007e-06,1.366256e-06,1.692164e-03,1.200192e-04
1048576,393221,9437184,380519,-4.277249e-02,1.084745e-01,2.021181e-06,3.169446e-06,1.034845e-03,2.784210e-04
1572864,393222,14155776,571018,-4.341667e-02,1.079382e-01,6.045088e-07,1.547613e-06,3.095085e-04,1.359505e-04
2097152,393249,18874368,760676,-4.375806e-02,1.092405e-01,1.901907e-07,6.483925e-06,9.737764e-05,5.695824e-04
2621440,393260,23592960,950910,-4.436703e-02,1.090844e-01,2.988219e-08,5.712977e-06,1.529968e-05,5.018582e-04
3145728,393311,28311552,1141129,-4.451747e-02,1.080572e-01,1.045224e-07,1.857774e-06,5.351551e-05,1.631967e-04
3670016,393316,33030144,1331719,-4.438686e-02,1.079609e-01,3.712968e-08,1.604536e-06,1.901040e-05,1.409510e-04
4194304,393320,37748736,1522909,-4.442372e-02,1.084532e-01,5.269259e-08,3.094160e-06,2.697861e-05,2.718075e-04
4718592,393334,42467328,1712894,-4.410807e-02,1.079305e-01,7.413664e-09,1.528596e-06,3.795796e-06,1.342801e-04
5242880,393337,47185920,1902772,-4.387285e-02,1.078307e-01,1.032473e-07,1.291743e-06,5.286263e-05,1.134736e-04
5767168,393360,51904512,2093250,-4.377776e-02,1.077072e-01,1.733935e-07,1.026206e-06,8.877752e-05,9.014738e-05
6291456,393360,56623104,2284205,-4.360566e-02,1.078573e-01,3.463486e-07,1.352912e-06,1.773305e-04,1.188470e-04
6815744,393381,61341696,2474670,-4.348018e-02,1.076423e-01,5.097805e-07,8.989384e-07,2.610076e-04,7.896754e-05
7340032,393385,66060288,2666111,-4.373877e-02,1.073296e-01,2.073908e-07,4.037242e-07,1.061841e-04,3.546528e-05
7864320,393405,70778880,2857466,-4.348501e-02,1.073491e-01,5.029042e-07,4.289800e-07,2.574871e-04,3.768388e-05
8388608,393420,75497472,3047633,-4.354469e-02,1.075231e-01,4.218172e-07,6.871484e-07,2.159704e-04,6.036277e-05
8912896,393445,80216064,3238948,-4.386495e-02,1.073685e-01,1.083850e-07,4.546603e-07,5.549314e-05,3.993978e-05
9437184,393448,84934656,3429302,-4.414485e-02,1.073242e-01,2.432008e-09,3.969078e-07,1.245188e-06,3.486649e-05
9961472,393463,89653248,3618657,-4.430537e-02,1.074788e-01,1.236542e-08,6.156763e-07,6.331096e-06,5.408428e-05
10485760,393465,94371840,3808375,-4.425780e-02,1.074208e-01,4.048517e-09,5.280169e-07,2.072841e-06,4.638381e-05
11010048,393471,99090432,3998877,-4.440972e-02,1.071622e-01,4.646299e-08,2.190247e-07,2.378905e-05,1.924029e-05
11534336,393473,103809024,4189567,-4.435619e-02,1.070784e-01,2.625179e-08,1.476071e-07,1.344092e-05,1.296659e-05
12058624,393575,108527616,4379277,-4.434615e-02,1.068514e-01,2.309926e-08,2.471880e-08,1.182682e-05,2.171431e-06
12582912,393577,113246208,4569789,-4.445598e-02,1.066315e-01,6.854236e-08,3.929934e-09,3.509369e-05,3.452263e-07
13107200,393578,117964800,4760370,-4.452826e-02,1.067645e-01,1.116146e-07,4.940512e-09,5.714671e-05,4.340009e-07
13631488,393583,122683392,4950357,-4.444034e-02,1.068436e-01,6.060012e-08,2.232007e-08,3.102727e-05,1.960714e-06
14155776,393610,127401984,5140923,-4.457061e-02,1.068441e-01,1.417103e-07,2.247618e-08,7.255569e-05,1.974427e-06
14680064,393619,132120576,5331973,-4.445665e-02,1.069454e-01,6.889783e-08,6.311083e-08,3.527569e-05,5.543991e-06
15204352,393630,136839168,5521224,-4.433810e-02,1.067955e-01,2.071486e-08,1.026583e-08,1.060601e-05,9.018053e-07
15728640,393631,141557760,5711444,-4.422549e-02,1.066653e-01,9.808494e-10,8.339649e-10,5.021950e-07,7.325991e-08
16252928,393636,146276352,5901558,-4.426123e-02,1.067051e-01,4.496903e-09,1.201173e-10,2.302415e-06,1.055174e-08
16777216,393637,150994944,6091835,-4.430143e-02,1.066219e-01,1.150520e-08,5.219814e-09,5.890663e-06,4.585362e-07
17301504,393651,155713536,6282635,-4.421696e-02,1.067162e-01,5.194445e-10,4.873529e-10,2.659556e-07,4.281167e-08
17825792,393660,160432128,6473778,-4.412896e-02,1.066572e-01,4.252016e-09,1.364562e-09,2.177032e-06,1.198704e-07
18350080,393675,165150720,6664261,-4.417741e-02,1.066464e-01,2.807755e-10,2.286545e-09,1.437571e-07,2.008622e-07
18874368,393700,169869312,6854174,-4.405987e-02,1.065862e-01,1.803761e-08,1.165834e-08,9.235258e-06,1.024131e-06
19398656,393706,174587904,7045158,-4.412688e-02,1.065893e-01,4.527933e-09,1.100020e-08,2.318302e-06,9.663158e-07
19922944,393732,179306496,7234524,-4.425712e-02,1.065396e-01,3.962697e-09,2.390563e-08,2.028901e-06,2.099997e-06
20447232,393750,184025088,7425014,-4.425952e-02,1.065693e-01,4.270497e-09,1.558179e-08,2.186495e-06,1.368787e-06
20971520,393784,188743680,7615714,-4.432658e-02,1.065502e-01,1.753188e-08,2.073739e-08,8.976323e-06,1.821683e-06
