trueR,trueI
-4.419417e-02,1.066942e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,394358,4718592,189685,-4.166606e-02,1.099396e-01,6.391314e-06,1.053276e-05,3.272353e-03,9.252533e-04
1048576,394379,9437184,380367,-4.242944e-02,1.099029e-01,3.114271e-06,1.029612e-05,1.594507e-03,9.044658e-04
1572864,394381,14155776,571181,-4.230203e-02,1.084793e-01,3.580201e-06,3.186580e-06,1.833064e-03,2.799262e-04
2097152,394404,18874368,761259,-4.214061e-02,1.074360e-01,4.217119e-06,5.502483e-07,2.159165e-03,4.833674e-05
2621440,394405,23592960,951719,-4.273798e-02,1.071813e-01,2.120489e-06,2.372486e-07,1.085691e-03,2.084118e-05
3145728,394418,28311552,1141721,-4.189291e-02,1.071693e-01,5.295784e-06,2.257494e-07,2.711442e-03,1.983103e-05
3670016,394427,33030144,1332027,-4.230624e-02,1.075472e-01,3.564289e-06,7.275871e-07,1.824916e-03,6.391513e-05
4194304,394484,37748736,1521808,-4.287993e-02,1.075245e-01,1.727221e-06,6.894231e-07,8.843372e-04,6.056259e-05
4718592,394529,42467328,1712232,-4.292189e-02,1.069855e-01,1.618705e-06,8.489639e-08,8.287773e-04,7.457751e-06
5242880,394580,47185920,1902203,-4.329014e-02,1.067612e-01,8.172655e-07,4.494405e-09,4.184400e-04,3.948125e-07
5767168,394592,51904512,2092177,-4.346989e-02,1.066374e-01,5.245846e-07,3.226607e-09,2.685873e-04,2.834423e-07
6291456,394599,56623104,2281894,-4.350804e-02,1.063666e-01,4.707763e-07,1.073133e-07,2.410375e-04,9.426974e-06
6815744,394604,61341696,2472147,-4.328180e-02,1.065393e-01,8.324227e-07,2.397710e-08,4.262005e-04,2.106276e-06
7340032,394622,66060288,2663111,-4.325566e-02,1.064194e-01,8.807985e-07,7.548216e-08,4.509689e-04,6.630753e-06
7864320,394627,70778880,2854864,-4.323278e-02,1.067322e-01,9.242624e-07,1.444978e-09,4.732224e-04,1.269345e-07
8388608,394666,75497472,3045402,-4.313127e-02,1.064946e-01,1.129756e-06,3.983166e-08,5.784353e-04,3.499025e-06
8912896,394680,80216064,3236683,-4.311784e-02,1.065309e-01,1.158477e-06,2.666749e-08,5.931404e-04,2.342614e-06
9437184,394705,84934656,3427768,-4.299613e-02,1.066179e-01,1.435305e-06,5.809403e-09,7.348763e-04,5.103289e-07
9961472,394713,89653248,3618082,-4.283794e-02,1.066462e-01,1.839358e-06,2.297245e-09,9.417514e-04,2.018022e-07
10485760,394718,94371840,3809700,-4.306012e-02,1.066616e-01,1.286076e-06,1.058151e-09,6.584710e-04,9.295363e-08
11010048,394726,99090432,4000617,-4.311075e-02,1.067631e-01,1.173804e-06,4.747619e-09,6.009878e-04,4.170561e-07
11534336,394743,103809024,4190615,-4.309016e-02,1.068547e-01,1.218826e-06,2.576995e-08,6.240392e-04,2.263769e-06
12058624,394799,108527616,4380746,-4.315315e-02,1.069712e-01,1.083717e-06,7.674836e-08,5.548634e-04,6.741985e-06
12582912,394813,113246208,4571097,-4.318888e-02,1.070262e-01,1.010597e-06,1.102770e-07,5.174257e-04,9.687319e-06
13107200,394836,117964800,4761105,-4.325389e-02,1.069732e-01,8.841300e-07,7.787116e-08,4.526747e-04,6.840618e-06
13631488,394844,122683392,4952027,-4.342188e-02,1.068099e-01,5.964317e-07,1.338823e-08,3.053731e-04,1.176093e-06
14155776,394846,127401984,5142698,-4.356940e-02,1.067398e-01,3.903403e-07,2.083896e-09,1.998542e-04,1.830605e-07
14680064,394902,132120576,5332726,-4.368744e-02,1.067404e-01,2.567780e-07,2.133849e-09,1.314703e-04,1.874486e-07
15204352,394920,136839168,5523171,-4.381255e-02,1.068074e-01,1.456329e-07,1.282530e-08,7.456404e-05,1.126642e-06
15728640,394956,141557760,5713376,-4.370037e-02,1.067154e-01,2.438405e-07,4.489928e-10,1.248464e-04,3.944192e-08
16252928,394974,146276352,5903262,-4.386697e-02,1.067467e-01,1.070596e-07,2.762175e-09,5.481455e-05,2.426441e-07
16777216,394980,150994944,6092870,-4.392871e-02,1.066198e-01,7.046926e-08,5.526717e-09,3.608027e-05,4.854963e-07
17301504,394996,155713536,6282934,-4.398614e-02,1.065223e-01,4.327551e-08,2.954442e-08,2.215707e-05,2.595339e-06
