trueR,trueI
-4.419417e-02,1.066942e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,163401,524288,8203,-5.229057e-02,1.270721e-01,6.555177e-05,4.152587e-04,3.356251e-02,3.647853e-02
1048576,163415,1048576,16320,-4.304241e-02,1.114870e-01,1.326541e-06,2.297167e-05,6.791889e-04,2.017953e-03
1572864,163430,1572864,24430,-4.497036e-02,1.078067e-01,6.024714e-07,1.237802e-06,3.084654e-04,1.087351e-04
2097152,163464,2097152,32624,-4.488558e-02,1.074594e-01,4.780480e-07,5.855835e-07,2.447607e-04,5.144077e-05
2621440,163484,2621440,40783,-4.741956e-02,1.068107e-01,1.040312e-05,1.358203e-08,5.326396e-03,1.193118e-06
3145728,163494,3145728,49002,-4.649363e-02,1.045653e-01,5.287540e-06,4.532275e-06,2.707221e-03,3.981391e-04
3670016,163544,3670016,57108,-4.805915e-02,1.055771e-01,1.493805e-05,1.247736e-06,7.648284e-03,1.096077e-04
4194304,163567,4194304,65391,-4.931878e-02,1.072607e-01,2.626159e-05,3.209700e-07,1.344594e-02,2.819571e-05
4718592,163570,4718592,73560,-4.931597e-02,1.064612e-01,2.623288e-05,5.425175e-08,1.343124e-02,4.765762e-06
5242880,163571,5242880,81603,-4.869566e-02,1.071197e-01,2.026346e-05,1.810398e-07,1.037490e-02,1.590350e-05
5767168,163576,5767168,89675,-4.791642e-02,1.059971e-01,1.385512e-05,4.858946e-07,7.093823e-03,4.268357e-05
6291456,163603,6291456,97744,-4.842888e-02,1.055347e-01,1.793279e-05,1.344484e-06,9.181590e-03,1.181066e-04
6815744,163665,6815744,105886,-4.873199e-02,1.051426e-01,2.059178e-05,2.407504e-06,1.054300e-02,2.114879e-04
7340032,163670,7340032,114130,-4.675510e-02,1.042410e-01,6.558374e-06,6.018229e-06,3.357888e-03,5.286732e-04
7864320,163677,7864320,122318,-4.605149e-02,1.049512e-01,3.449644e-06,3.038114e-06,1.766218e-03,2.668841e-04
8388608,163678,8388608,130586,-4.591387e-02,1.050733e-01,2.957362e-06,2.627304e-06,1.514170e-03,2.307964e-04
8912896,163683,8912896,138809,-4.564921e-02,1.040113e-01,2.117138e-06,7.198043e-06,1.083975e-03,6.323144e-04
9437184,163700,9437184,147128,-4.606605e-02,1.051993e-01,3.503921e-06,2.234613e-06,1.794008e-03,1.963003e-04
9961472,163734,9961472,155296,-4.607583e-02,1.049840e-01,3.540655e-06,2.924551e-06,1.812816e-03,2.569081e-04
10485760,163740,10485760,163626,-4.663613e-02,1.057881e-01,5.963157e-06,8.210215e-07,3.053137e-03,7.212290e-05
11010048,163750,11010048,171883,-4.639921e-02,1.059599e-01,4.862203e-06,5.391300e-07,2.489448e-03,4.736004e-05
11534336,163761,11534336,179982,-4.705643e-02,1.051154e-01,8.192509e-06,2.492375e-06,4.194566e-03,2.189435e-04
12058624,163797,12058624,188392,-4.576566e-02,1.046227e-01,2.469597e-06,4.290865e-06,1.264434e-03,3.769324e-04
12582912,163795,12582912,196608,-4.512267e-02,1.042179e-01,8.621100e-07,6.131790e-06,4.414004e-04,5.386490e-04
13107200,163801,13107200,204984,-4.476236e-02,1.048688e-01,3.228427e-07,3.332003e-06,1.652955e-04,2.927008e-04
13631488,163813,13631488,213182,-4.446926e-02,1.049355e-01,7.567265e-08,3.092928e-06,3.874440e-05,2.716993e-04
14155776,163822,14155776,221402,-4.370361e-02,1.054476e-01,2.406502e-07,1.553848e-06,1.232129e-04,1.364982e-04
14680064,163823,14680064,229590,-4.404026e-02,1.053123e-01,2.368840e-08,1.909432e-06,1.212846e-05,1.677346e-04
