trueR,trueI
-4.419417e-02,1.066942e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,162983,524288,8090,-3.184113e-02,9.808699e-02,1.525975e-04,7.408353e-05,7.812993e-02,6.507892e-03
1048576,163039,1048576,16249,-4.922432e-02,9.589048e-02,2.530239e-05,1.167198e-04,1.295482e-02,1.025328e-02
1572864,163057,1572864,24625,-5.091479e-02,1.029764e-01,4.516675e-05,1.382194e-05,2.312538e-02,1.214193e-03
2097152,163058,2097152,32798,-4.787488e-02,1.060067e-01,1.354762e-05,4.726595e-07,6.936384e-03,4.152092e-05
2621440,163161,2621440,41009,-4.765549e-02,1.039811e-01,1.198076e-05,7.360624e-06,6.134151e-03,6.465964e-04
3145728,163182,3145728,49262,-4.826405e-02,1.095292e-01,1.656389e-05,8.037509e-06,8.480713e-03,7.060576e-04
3670016,163180,3670016,57281,-4.989683e-02,1.090566e-01,3.252028e-05,5.581217e-06,1.665039e-02,4.902838e-04
4194304,163244,4194304,65402,-4.947779e-02,1.064200e-01,2.791668e-05,7.515091e-08,1.429334e-02,6.601656e-06
4718592,163246,4718592,73382,-4.777387e-02,1.047656e-01,1.281427e-05,3.719489e-06,6.560907e-03,3.267397e-04
5242880,163278,5242880,81472,-4.664614e-02,1.058989e-01,6.012144e-06,6.324860e-07,3.078219e-03,5.556094e-05
5767168,163284,5767168,89621,-4.802997e-02,1.069791e-01,1.471337e-05,8.119930e-08,7.533247e-03,7.132978e-06
6291456,163291,6291456,97847,-4.736066e-02,1.067823e-01,1.002668e-05,7.760846e-09,5.133661e-03,6.817540e-07
6815744,163313,6815744,106062,-4.674899e-02,1.066929e-01,6.527100e-06,1.700029e-12,3.341876e-03,1.493396e-10
7340032,163334,7340032,114236,-4.558771e-02,1.068590e-01,1.941969e-06,2.716375e-08,9.942882e-04,2.386209e-06
7864320,163343,7864320,122450,-4.556863e-02,1.056021e-01,1.889142e-06,1.192598e-06,9.672411e-04,1.047642e-04
8388608,163346,8388608,130697,-4.650254e-02,1.053766e-01,5.328566e-06,1.735868e-06,2.728226e-03,1.524879e-04
8912896,163365,8912896,138833,-4.660966e-02,1.054491e-01,5.834589e-06,1.550116e-06,2.987310e-03,1.361705e-04
9437184,163378,9437184,147114,-4.769789e-02,1.058613e-01,1.227609e-05,6.937231e-07,6.285358e-03,6.094033e-05
9961472,163398,9961472,155216,-4.668545e-02,1.056578e-01,6.206478e-06,1.074136e-06,3.177717e-03,9.435787e-05
10485760,163426,10485760,163454,-4.585169e-02,1.064804e-01,2.747359e-06,4.568257e-08,1.406648e-03,4.013000e-06
11010048,163438,11010048,171650,-4.570283e-02,1.055954e-01,2.276057e-06,1.207403e-06,1.165341e-03,1.060647e-04
11534336,163444,11534336,179864,-4.556901e-02,1.060637e-01,1.890197e-06,3.974337e-07,9.677812e-04,3.491269e-05
12058624,163452,12058624,188076,-4.597126e-02,1.062317e-01,3.158063e-06,2.138601e-07,1.616928e-03,1.878661e-05
12582912,163462,12582912,196295,-4.552186e-02,1.066018e-01,1.762750e-06,8.527136e-09,9.025282e-04,7.490690e-07
13107200,163463,13107200,204536,-4.494741e-02,1.067706e-01,5.673687e-07,5.845804e-09,2.904928e-04,5.135266e-07
13631488,163474,13631488,212761,-4.469308e-02,1.062528e-01,2.489070e-07,1.947899e-07,1.274404e-04,1.711138e-05
14155776,163475,14155776,221009,-4.473503e-02,1.069761e-01,2.925336e-07,7.946770e-08,1.497772e-04,6.980866e-06
14680064,163481,14680064,229217,-4.514676e-02,1.066610e-01,9.074211e-07,1.099754e-09,4.645997e-04,9.660820e-08
15204352,163485,15204352,237436,-4.567380e-02,1.065371e-01,2.189303e-06,2.468368e-08,1.120924e-03,2.168345e-06
15728640,163489,15728640,245688,-4.545765e-02,1.069180e-01,1.596374e-06,5.009669e-08,8.173437e-04,4.400760e-06
16252928,163498,16252928,253950,-4.555904e-02,1.069324e-01,1.862875e-06,5.676173e-08,9.537923e-04,4.986253e-06
