trueR,trueI
-6.440000e-02,-2.667000e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
4194304,6967986,50331648,153633,-7.115618e-02,-8.508493e-03,4.564596e-05,3.298403e-04,1.100603e-02,4.637219e-01
8388608,6969254,100663296,307119,-5.851585e-02,-2.142934e-02,3.462324e-05,2.746454e-05,8.348261e-03,3.861236e-02
12582912,6969599,150994944,460609,-6.485394e-02,-1.877616e-02,2.060629e-07,6.231271e-05,4.968531e-05,8.760535e-02
16777216,6969663,201326592,614661,-6.502561e-02,-3.051664e-02,3.913883e-07,1.479665e-05,9.437046e-05,2.080259e-02
20971520,6969685,251658240,769053,-6.150950e-02,-2.939914e-02,8.355019e-06,7.448186e-06,2.014539e-03,1.047139e-02
25165824,6969783,301989888,922426,-6.376006e-02,-2.625831e-02,4.095299e-07,1.694911e-07,9.874472e-05,2.382873e-04
29360128,6970350,352321536,1076247,-5.988331e-02,-2.050381e-02,2.040050e-05,3.802190e-05,4.918911e-03,5.345493e-02
33554432,6970524,402653184,1228599,-5.861752e-02,-2.376266e-02,3.343709e-05,8.452645e-06,8.062257e-03,1.188356e-02
37748736,6970994,452984832,1383528,-5.777835e-02,-2.660100e-02,4.384627e-05,4.760462e-09,1.057209e-02,6.692726e-06
41943040,6971027,503316480,1537082,-5.954973e-02,-2.739032e-02,2.352518e-05,5.188586e-07,5.672325e-03,7.294626e-04
46137344,6971151,553648128,1690440,-6.109478e-02,-2.535979e-02,1.092447e-05,1.716652e-06,2.634079e-03,2.413438e-03
50331648,6971301,603979776,1844087,-6.118849e-02,-2.508876e-02,1.031384e-05,2.500321e-06,2.486845e-03,3.515198e-03
54525952,6971307,654311424,1997349,-6.153928e-02,-2.489949e-02,8.183747e-06,3.134704e-06,1.973242e-03,4.407075e-03
58720256,6971345,704643072,2151374,-6.299504e-02,-2.214312e-02,1.973922e-06,2.049266e-05,4.759466e-04,2.881060e-02
62914560,6971608,754974720,2305858,-6.411971e-02,-1.789140e-02,7.856296e-08,7.706382e-05,1.894288e-05,1.083439e-01
67108864,6971737,805306368,2458988,-6.315166e-02,-1.935712e-02,1.558365e-06,5.347823e-05,3.757486e-04,7.518496e-02
71303168,6971743,855638016,2613135,-6.143395e-02,-2.102422e-02,8.797453e-06,3.187487e-05,2.121218e-03,4.481284e-02
