trueR,trueI
5.000000e-01,0.000000e+00
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
4194304,844231,16777216,4715571,5.001149e-01,0.000000e+00,1.320609e-08,0.000000e+00,5.282436e-08,0.000000e+00
8388608,844389,33554432,9432854,5.002058e-01,0.000000e+00,4.233522e-08,0.000000e+00,1.693409e-07,0.000000e+00
12582912,844406,50331648,14148916,5.001928e-01,0.000000e+00,3.717995e-08,0.000000e+00,1.487198e-07,0.000000e+00
16777216,844961,67108864,18870033,5.003206e-01,0.000000e+00,1.027547e-07,0.000000e+00,4.110189e-07,0.000000e+00
20971520,845690,83886080,23583646,5.002378e-01,0.000000e+00,5.655956e-08,0.000000e+00,2.262382e-07,0.000000e+00
25165824,845858,100663296,28301945,5.002656e-01,0.000000e+00,7.054246e-08,0.000000e+00,2.821698e-07,0.000000e+00
29360128,846207,117440512,33016043,5.002217e-01,0.000000e+00,4.916387e-08,0.000000e+00,1.966555e-07,0.000000e+00
33554432,846347,134217728,37731921,5.002124e-01,0.000000e+00,4.512691e-08,0.000000e+00,1.805076e-07,0.000000e+00
37748736,846977,150994944,42449546,5.002258e-01,0.000000e+00,5.097769e-08,0.000000e+00,2.039108e-07,0.000000e+00
41943040,847147,167772160,47170020,5.002667e-01,0.000000e+00,7.114531e-08,0.000000e+00,2.845812e-07,0.000000e+00
46137344,848055,184549376,51887796,5.002742e-01,0.000000e+00,7.520811e-08,0.000000e+00,3.008324e-07,0.000000e+00
50331648,848439,201326592,56604996,5.002753e-01,0.000000e+00,7.579771e-08,0.000000e+00,3.031909e-07,0.000000e+00
54525952,848638,218103808,61325955,5.003070e-01,0.000000e+00,9.422685e-08,0.000000e+00,3.769074e-07,0.000000e+00
58720256,848740,234881024,66048411,5.003455e-01,0.000000e+00,1.193485e-07,0.000000e+00,4.773940e-07,0.000000e+00
62914560,848870,251658240,70764178,5.003315e-01,0.000000e+00,1.098667e-07,0.000000e+00,4.394667e-07,0.000000e+00
67108864,849074,268435456,75484942,5.003524e-01,0.000000e+00,1.241735e-07,0.000000e+00,4.966942e-07,0.000000e+00
71303168,849187,285212672,80207402,5.003814e-01,0.000000e+00,1.454737e-07,0.000000e+00,5.818947e-07,0.000000e+00
75497472,849257,301989888,84931799,5.004187e-01,0.000000e+00,1.752787e-07,0.000000e+00,7.011149e-07,0.000000e+00
79691776,849342,318767104,89652118,5.004292e-01,0.000000e+00,1.842238e-07,0.000000e+00,7.368953e-07,0.000000e+00
83886080,849417,335544320,94370125,5.004264e-01,0.000000e+00,1.818269e-07,0.000000e+00,7.273075e-07,0.000000e+00
88080384,849477,352321536,99087264,5.004195e-01,0.000000e+00,1.759781e-07,0.000000e+00,7.039126e-07,0.000000e+00
92274688,849499,369098752,103807675,5.004290e-01,0.000000e+00,1.840704e-07,0.000000e+00,7.362815e-07,0.000000e+00
96468992,849566,385875968,108526235,5.004292e-01,0.000000e+00,1.841727e-07,0.000000e+00,7.366907e-07,0.000000e+00
100663296,849577,402653184,113242833,5.004206e-01,0.000000e+00,1.769296e-07,0.000000e+00,7.077183e-07,0.000000e+00
