trueR,trueI
1.508900e-01,6.250000e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
4194304,2844199,33554432,850214,1.508090e-01,6.221662e-02,6.566268e-09,8.030161e-08,2.884017e-07,2.055721e-05
8388608,2844441,67108864,1703592,1.510535e-01,6.253298e-02,2.672105e-08,1.087434e-09,1.173634e-06,2.783832e-07
12582912,2844539,100663296,2553515,1.509865e-01,6.255979e-02,9.312235e-09,3.574953e-09,4.090091e-07,9.151879e-07
16777216,2844989,134217728,3406397,1.509036e-01,6.256145e-02,1.854952e-10,3.776396e-09,8.147263e-09,9.667574e-07
20971520,2845286,167772160,4258844,1.509152e-01,6.251885e-02,6.341816e-10,3.553213e-10,2.785433e-08,9.096226e-08
25165824,2845458,201326592,5110294,1.508988e-01,6.254155e-02,7.677059e-11,1.726559e-09,3.371895e-09,4.419992e-07
29360128,2845526,234881024,5964162,1.508395e-01,6.249275e-02,2.550254e-09,5.255402e-11,1.120115e-07,1.345383e-08
33554432,2845551,268435456,6816998,1.508767e-01,6.247673e-02,1.774660e-10,5.415808e-10,7.794610e-09,1.386447e-07
37748736,2845559,301989888,7668788,1.507967e-01,6.244646e-02,8.704175e-09,2.866917e-09,3.823021e-07,7.339307e-07
41943040,2845588,335544320,8521208,1.508079e-01,6.247007e-02,6.736403e-09,8.957440e-10,2.958743e-07,2.293105e-07
46137344,2845670,369098752,9373883,1.507373e-01,6.246299e-02,2.330581e-08,1.370072e-09,1.023631e-06,3.507384e-07
50331648,2845687,402653184,10226845,1.508039e-01,6.248330e-02,7.410456e-09,2.789059e-10,3.254798e-07,7.139991e-08
54525952,2846020,436207616,11076814,1.509060e-01,6.251392e-02,2.570779e-10,1.937019e-10,1.129130e-08,4.958770e-08
58720256,2846043,469762048,11927273,1.508831e-01,6.247286e-02,4.759948e-11,7.367134e-10,2.090650e-09,1.885986e-07
62914560,2846045,503316480,12780032,1.508847e-01,6.249540e-02,2.766876e-11,2.116675e-11,1.215259e-09,5.418688e-09
67108864,2846059,536870912,13634076,1.508964e-01,6.250820e-02,4.067502e-11,6.729067e-11,1.786516e-09,1.722641e-08
71303168,2846129,570425344,14487914,1.509322e-01,6.252319e-02,1.780847e-09,5.376002e-10,7.821784e-08,1.376256e-07
75497472,2846260,603979776,15338865,1.509265e-01,6.252358e-02,1.329561e-09,5.560677e-10,5.839656e-08,1.423533e-07
79691776,2846309,637534208,16195130,1.509418e-01,6.255002e-02,2.687504e-09,2.502320e-09,1.180397e-07,6.405940e-07
83886080,2846323,671088640,17047952,1.509517e-01,6.255880e-02,3.803917e-09,3.457438e-09,1.670745e-07,8.851041e-07
88080384,2846351,704643072,17899501,1.509504e-01,6.255000e-02,3.645685e-09,2.500085e-09,1.601247e-07,6.400217e-07
92274688,2846454,738197504,18749834,1.509156e-01,6.253906e-02,6.538450e-10,1.525949e-09,2.871798e-08,3.906429e-07
96468992,2846456,771751936,19601705,1.509285e-01,6.254644e-02,1.484900e-09,2.156624e-09,6.521935e-08,5.520958e-07
100663296,2846569,805306368,20453309,1.509075e-01,6.253505e-02,3.065603e-10,1.228852e-09,1.346465e-08,3.145860e-07
104857600,2846603,838860800,21303736,1.509119e-01,6.253988e-02,4.798162e-10,1.590650e-09,2.107434e-08,4.072065e-07
109051904,2846667,872415232,22156666,1.508996e-01,6.254356e-02,9.323742e-11,1.897133e-09,4.095146e-09,4.856661e-07
113246208,2846711,905969664,23010205,1.509044e-01,6.255061e-02,2.089218e-10,2.561554e-09,9.176199e-09,6.557577e-07
117440512,2846713,939524096,23865571,1.509351e-01,6.256188e-02,2.030504e-09,3.829694e-09,8.918317e-08,9.804016e-07
121634816,2846734,973078528,24717644,1.509084e-01,6.254788e-02,3.403153e-10,2.292248e-09,1.494723e-08,5.868156e-07
125829120,2846737,1006632960,25569577,1.508911e-01,6.253929e-02,1.249001e-12,1.544047e-09,5.485824e-11,3.952760e-07
130023424,2846781,1040187392,26421267,1.509053e-01,6.254356e-02,2.351099e-10,1.897133e-09,1.032643e-08,4.856661e-07
134217728,2846831,1073741824,27273543,1.509086e-01,6.255056e-02,3.480558e-10,2.556277e-09,1.528720e-08,6.544070e-07
138412032,2846885,1107296256,28125218,1.508747e-01,6.253988e-02,2.323761e-10,1.590056e-09,1.020635e-08,4.070544e-07
142606336,2846970,1140850688,28979080,1.508695e-01,6.254076e-02,4.198031e-10,1.661551e-09,1.843846e-08,4.253570e-07
146800640,2846983,1174405120,29833706,1.508754e-01,6.253739e-02,2.123821e-10,1.398346e-09,9.328183e-09,3.579765e-07
150994944,2846991,1207959552,30685628,1.508639e-01,6.253989e-02,6.784582e-10,1.591245e-09,2.979904e-08,4.073586e-07
155189248,2846997,1241513984,31538349,1.508675e-01,6.254598e-02,5.042742e-10,2.113933e-09,2.214858e-08,5.411670e-07
159383552,2847221,1275068416,32388851,1.508618e-01,6.254280e-02,7.965264e-10,1.832147e-09,3.498479e-08,4.690296e-07
163577856,2847408,1308622848,33242022,1.508636e-01,6.253835e-02,6.940724e-10,1.470580e-09,3.048484e-08,3.764684e-07
167772160,2847749,1342177280,34091450,1.508560e-01,6.253195e-02,1.152253e-09,1.020680e-09,5.060889e-08,2.612942e-07
171966464,2847859,1375731712,34946979,1.508466e-01,6.252657e-02,1.881588e-09,7.058996e-10,8.264256e-08,1.807103e-07
176160768,2847940,1409286144,35798831,1.508470e-01,6.252761e-02,1.849409e-09,7.624144e-10,8.122917e-08,1.951781e-07
180355072,2848014,1442840576,36651558,1.508487e-01,6.252471e-02,1.707418e-09,6.107608e-10,7.499272e-08,1.563548e-07
184549376,2848041,1476395008,37503215,1.508624e-01,6.252490e-02,7.624144e-10,6.200020e-10,3.348653e-08,1.587205e-07
188743680,2848099,1509949440,38357542,1.508767e-01,6.253764e-02,1.758815e-10,1.416795e-09,7.725016e-09,3.626994e-07
192937984,2848200,1543503872,39210139,1.508743e-01,6.253133e-02,2.448042e-10,9.815495e-10,1.075222e-08,2.512767e-07
197132288,2848327,1577058304,40063378,1.508722e-01,6.253054e-02,3.181475e-10,9.326873e-10,1.397358e-08,2.387679e-07
201326592,2848380,1610612736,40916941,1.508776e-01,6.252823e-02,1.533353e-10,7.969470e-10,6.734748e-09,2.040184e-07
205520896,2848459,1644167168,41769545,1.508771e-01,6.253015e-02,1.657554e-10,9.091732e-10,7.280259e-09,2.327483e-07
209715200,2848470,1677721600,42623278,1.508921e-01,6.253477e-02,4.477307e-12,1.209082e-09,1.966509e-10,3.095250e-07
213909504,2848572,1711276032,43477099,1.508970e-01,6.253106e-02,4.863310e-11,9.648149e-10,2.136048e-09,2.469926e-07
218103808,2848597,1744830464,44329578,1.508994e-01,6.252759e-02,8.812950e-11,7.611805e-10,3.870797e-09,1.948622e-07
222298112,2849765,1778384896,45181880,1.509046e-01,6.252711e-02,2.128167e-10,7.350965e-10,9.347269e-09,1.881847e-07
226492416,2850287,1811939328,46032623,1.508991e-01,6.253022e-02,8.370993e-11,9.132215e-10,3.676682e-09,2.337847e-07
230686720,2850651,1845493760,46884479,1.508978e-01,6.253780e-02,6.096812e-11,1.429161e-09,2.677824e-09,3.658652e-07
234881024,2862487,1879048192,47738415,1.509042e-01,6.253822e-02,2.020863e-10,1.460881e-09,8.875976e-09,3.739856e-07
239075328,2863465,1912602624,48592144,1.509165e-01,6.254139e-02,7.043168e-10,1.712964e-09,3.093479e-08,4.385189e-07
243269632,2866492,1946157056,49444351,1.509163e-01,6.254856e-02,6.925029e-10,2.358354e-09,3.041590e-08,6.037386e-07
247463936,2867447,1979711488,50297592,1.509138e-01,6.255098e-02,5.648870e-10,2.599401e-09,2.481080e-08,6.654467e-07
251658240,2869474,2013265920,51149699,1.509124e-01,6.254953e-02,5.036052e-10,2.453366e-09,2.211919e-08,6.280616e-07
255852544,2870896,2046820352,52000367,1.509161e-01,6.254904e-02,6.815668e-10,2.404894e-09,2.993557e-08,6.156529e-07
260046848,2872507,2080374784,52854009,1.509248e-01,6.255406e-02,1.210637e-09,2.922636e-09,5.317324e-08,7.481949e-07
264241152,2873719,2113929216,53705118,1.509259e-01,6.255145e-02,1.290728e-09,2.646718e-09,5.669095e-08,6.775597e-07
268435456,2890046,2147483648,54554178,1.509184e-01,6.254228e-02,8.058054e-10,1.787771e-09,3.539234e-08,4.576694e-07
272629760,2890194,2181038080,55406530,1.509292e-01,6.255473e-02,1.535860e-09,2.995588e-09,6.745759e-08,7.668705e-07
276824064,2890553,2214592512,56257239,1.509175e-01,6.255069e-02,7.550263e-10,2.569856e-09,3.316203e-08,6.578832e-07
281018368,2890686,2248146944,57109218,1.509229e-01,6.255419e-02,1.085470e-09,2.936347e-09,4.767568e-08,7.517049e-07
285212672,2890775,2281701376,57960907,1.509204e-01,6.255864e-02,9.258736e-10,3.439062e-09,4.066594e-08,8.804000e-07
289406976,2890782,2315255808,58813446,1.509297e-01,6.256269e-02,1.579379e-09,3.929934e-09,6.936899e-08,1.006063e-06
293601280,2890788,2348810240,59668855,1.509435e-01,6.256712e-02,2.858545e-09,4.505400e-09,1.255522e-07,1.153383e-06
297795584,2890889,2382364672,60521502,1.509541e-01,6.256865e-02,4.109425e-09,4.712774e-09,1.804929e-07,1.206470e-06
301989888,2890931,2415919104,61374260,1.509517e-01,6.256694e-02,3.802080e-09,4.481428e-09,1.669938e-07,1.147245e-06
306184192,2890955,2449473536,62225789,1.509495e-01,6.256258e-02,3.545612e-09,3.915934e-09,1.557293e-07,1.002479e-06
310378496,2891040,2483027968,63076167,1.509394e-01,6.256278e-02,2.440098e-09,3.941151e-09,1.071733e-07,1.008935e-06
314572800,2891048,2516582400,63928260,1.509404e-01,6.256376e-02,2.542734e-09,4.065601e-09,1.116812e-07,1.040794e-06
318767104,2891206,2550136832,64780062,1.509332e-01,6.256590e-02,1.868683e-09,4.342861e-09,8.207574e-08,1.111772e-06
322961408,2891210,2583691264,65629846,1.509268e-01,6.256267e-02,1.353575e-09,3.928066e-09,5.945132e-08,1.005585e-06
327155712,2891242,2617245696,66480969,1.509269e-01,6.256304e-02,1.360162e-09,3.973961e-09,5.974062e-08,1.017334e-06
331350016,2891249,2650800128,67330112,1.509198e-01,6.256032e-02,8.890668e-10,3.638490e-09,3.904932e-08,9.314535e-07
335544320,2891271,2684354560,68182000,1.509116e-01,6.255419e-02,4.649190e-10,2.936347e-09,2.042003e-08,7.517049e-07
339738624,2891625,2717908992,69035662,1.509142e-01,6.255305e-02,5.848941e-10,2.814105e-09,2.568954e-08,7.204108e-07
343932928,2891707,2751463424,69884260,1.509057e-01,6.254994e-02,2.476099e-10,2.494128e-09,1.087545e-08,6.384967e-07
348127232,2891880,2785017856,70735059,1.509067e-01,6.255377e-02,2.780356e-10,2.891303e-09,1.221180e-08,7.401736e-07
352321536,2891899,2818572288,71584761,1.509078e-01,6.255276e-02,3.176162e-10,2.783360e-09,1.395024e-08,7.125402e-07
356515840,2891919,2852126720,72438339,1.509098e-01,6.255592e-02,3.927747e-10,3.127500e-09,1.725133e-08,8.006401e-07
360710144,2892306,2885681152,73289156,1.509073e-01,6.255172e-02,2.987832e-10,2.675158e-09,1.312307e-08,6.848405e-07
364904448,2892357,2919235584,74140634,1.509054e-01,6.254886e-02,2.364828e-10,2.387388e-09,1.038673e-08,6.111714e-07
369098752,2892478,2952790016,74991560,1.508995e-01,6.254432e-02,8.981615e-11,1.963913e-09,3.944878e-09,5.027616e-07
