trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,2065791,11534336,409205,3.558710e-03,1.134927e-03,7.581274e-09,2.799333e-07,5.703761e-04,7.626736e-01
1048576,2065831,23068672,818242,3.449063e-03,8.038406e-04,3.869766e-08,3.920423e-08,2.911413e-03,1.068113e-01
1572864,2065993,34603008,1226559,3.636735e-03,8.276995e-04,8.181632e-11,4.922163e-08,6.155440e-06,1.341035e-01
2097152,2066031,46137344,1635087,3.604027e-03,7.369131e-04,1.743337e-09,1.718015e-08,1.311597e-04,4.680702e-02
2621440,2066053,57671680,2044814,3.525156e-03,7.080412e-04,1.455020e-08,1.044509e-08,1.094682e-03,2.845748e-02
3145728,2066057,69206016,2453822,3.466774e-03,8.471437e-04,3.204315e-08,5.822747e-08,2.410762e-03,1.586398e-01
3670016,2066110,80740352,2862187,3.319081e-03,6.856166e-04,1.067325e-07,6.364310e-09,8.030001e-03,1.733946e-02
4194304,2066209,92274688,3271008,3.188086e-03,8.602737e-04,2.094834e-07,6.473649e-08,1.576045e-02,1.763735e-01
4718592,2066273,103809024,3680359,3.290454e-03,8.581533e-04,1.262568e-07,6.366199e-08,9.498912e-03,1.734460e-01
5242880,2066295,115343360,4089491,3.148233e-03,8.589751e-04,2.475532e-07,6.407738e-08,1.862463e-02,1.745777e-01
5767168,2066321,126877696,4499381,3.237634e-03,8.537928e-04,1.665832e-07,6.148060e-08,1.253286e-02,1.675029e-01
6291456,2066325,138412032,4908615,3.321436e-03,8.582429e-04,1.051989e-07,6.370720e-08,7.914624e-03,1.735692e-01
6815744,2066357,149946368,5317933,3.358461e-03,8.833796e-04,8.255238e-08,7.702823e-08,6.210816e-03,2.098621e-01
7340032,2066398,161480704,5727143,3.333094e-03,8.318750e-04,9.777280e-08,5.109180e-08,7.355922e-03,1.391988e-01
7864320,2066466,173015040,6135619,3.489556e-03,7.836329e-04,2.440594e-08,3.161032e-08,1.836177e-03,8.612179e-02
8388608,2066515,184549376,6544123,3.483213e-03,8.120675e-04,2.642788e-08,4.252977e-08,1.988298e-03,1.158716e-01
8912896,2066516,196083712,6952415,3.480457e-03,7.805025e-04,2.733170e-08,3.050699e-08,2.056297e-03,8.311578e-02
9437184,2066521,207618048,7361016,3.392903e-03,8.369470e-04,6.394672e-08,5.341045e-08,4.811023e-03,1.455159e-01
9961472,2066538,219152384,7769531,3.385558e-03,8.440364e-04,6.771537e-08,5.673753e-08,5.094556e-03,1.545804e-01
10485760,2066578,230686720,8177871,3.449235e-03,8.532028e-04,3.862981e-08,6.118837e-08,2.906309e-03,1.667067e-01
11010048,2066583,242221056,8587565,3.459714e-03,8.683541e-04,3.462052e-08,6.891363e-08,2.604670e-03,1.877540e-01
11534336,2066596,253755392,8996318,3.536772e-03,8.818896e-04,1.188280e-08,7.620338e-08,8.940010e-04,2.076148e-01
12058624,2066613,265289728,9405442,3.530580e-03,9.726622e-04,1.327108e-08,1.345585e-07,9.984479e-04,3.666024e-01
12582912,2066652,276824064,9814793,3.537848e-03,9.365691e-04,1.164930e-08,1.093817e-07,8.764330e-04,2.980086e-01
13107200,2066723,288358400,10223127,3.509315e-03,9.526732e-04,1.862265e-08,1.202933e-07,1.401072e-03,3.277370e-01
13631488,2066737,299892736,10631950,3.543981e-03,8.905822e-04,1.036297e-08,8.107810e-08,7.796566e-04,2.208959e-01
