trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,1996323,11534336,408377,3.821571e-03,-1.939232e-03,3.090251e-08,6.477390e-06,2.324946e-03,1.764754e+01
1048576,1996598,23068672,817105,3.683500e-03,-8.895117e-04,1.422813e-09,2.236077e-06,1.070451e-04,6.092154e+00
1572864,1996748,34603008,1225990,3.833924e-03,-6.125941e-05,3.539822e-08,4.450216e-07,2.663180e-03,1.212454e+00
2097152,1996830,46137344,1634670,4.038870e-03,9.744908e-05,1.545200e-07,2.584614e-07,1.162529e-02,7.041736e-01
2621440,1996848,57671680,2042994,3.982497e-03,3.386691e-04,1.133786e-07,7.138030e-08,8.530021e-03,1.944744e-01
3145728,1996858,69206016,2451351,3.536770e-03,2.901996e-04,1.188311e-08,9.962889e-08,8.940240e-04,2.714372e-01
3670016,1997012,80740352,2859277,3.601514e-03,2.913668e-04,1.959499e-09,9.889338e-08,1.474226e-04,2.694333e-01
4194304,1997214,92274688,3268474,3.684822e-03,2.888844e-04,1.524312e-09,1.004608e-07,1.146814e-04,2.737038e-01
4718592,1997263,103809024,3677343,3.656524e-03,3.416593e-04,1.154379e-10,6.979146e-08,8.684953e-06,1.901457e-01
5242880,1997287,115343360,4085186,3.686271e-03,3.095528e-04,1.639492e-09,8.778609e-08,1.233470e-04,2.391717e-01
5767168,1997287,126877696,4492935,3.617723e-03,3.143223e-04,7.871704e-10,8.498259e-08,5.922265e-05,2.315336e-01
6291456,1997290,138412032,4901622,3.584454e-03,3.466037e-04,3.760931e-09,6.720345e-08,2.829531e-04,1.830947e-01
6815744,1997339,149946368,5310164,3.532018e-03,3.776283e-04,1.294184e-08,5.208058e-08,9.736776e-04,1.418926e-01
7340032,1997341,161480704,5718606,3.565490e-03,3.771136e-04,6.446450e-09,5.231575e-08,4.849977e-04,1.425334e-01
7864320,1997446,173015040,6127877,3.561859e-03,3.891255e-04,7.042736e-09,4.696518e-08,5.298592e-04,1.279558e-01
8388608,1997471,184549376,6536717,3.590214e-03,4.578772e-04,3.087550e-09,2.189299e-08,2.322914e-04,5.964708e-02
8912896,1997563,196083712,6945842,3.634110e-03,4.910284e-04,1.361929e-10,1.318171e-08,1.024645e-05,3.591335e-02
9437184,1997663,207618048,7354451,3.589788e-03,5.184597e-04,3.135135e-09,7.635315e-09,2.358714e-04,2.080229e-02
