trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,748672,524288,35,2.263499e-03,3.041170e-03,1.910700e-06,5.930831e-06,1.437512e-01,1.615845e+01
1048576,748762,1048576,68,3.618114e-03,1.198664e-03,7.654261e-10,3.514401e-07,5.758671e-05,9.574926e-01
1572864,748838,1572864,99,3.719185e-03,8.099543e-04,5.388360e-09,4.166265e-08,4.053924e-04,1.135092e-01
2097152,748872,2097152,138,4.385799e-03,9.580594e-04,5.476283e-07,1.240585e-07,4.120073e-02,3.379953e-01
2621440,749006,2621440,167,5.116057e-03,7.476167e-04,2.161715e-06,2.010063e-08,1.626363e-01,5.476382e-02
3145728,749042,3145728,202,4.717387e-03,8.703722e-04,1.148341e-06,6.997730e-08,8.639526e-02,1.906520e-01
3670016,749133,3670016,227,4.624507e-03,6.399331e-04,9.579063e-07,1.162339e-09,7.206794e-02,3.166774e-03
4194304,749146,4194304,263,4.888143e-03,6.575739e-04,1.543466e-06,2.676399e-09,1.161224e-01,7.291802e-03
4718592,749178,4718592,309,5.293902e-03,4.431872e-04,2.716305e-06,2.645594e-08,2.043608e-01,7.207874e-02
5242880,749208,5242880,349,6.738490e-03,5.189975e-04,9.564857e-06,7.541622e-09,7.196106e-01,2.054702e-02
5767168,749247,5767168,387,6.273575e-03,3.254801e-04,6.905304e-06,7.860169e-08,5.195196e-01,2.141490e-01
6291456,749305,6291456,421,6.231896e-03,1.970460e-04,6.687997e-06,1.671125e-07,5.031704e-01,4.552952e-01
6815744,749312,6815744,472,6.343508e-03,2.714918e-04,7.277737e-06,1.117887e-07,5.475395e-01,3.045664e-01
7340032,749310,7340032,509,5.752802e-03,3.448972e-04,4.439543e-06,6.809117e-08,3.340084e-01,1.855132e-01
7864320,749314,7864320,539,5.584431e-03,1.320498e-04,3.758367e-06,2.244771e-07,2.827602e-01,6.115841e-01
8388608,749330,8388608,578,5.728227e-03,3.159310e-05,4.336584e-06,3.297595e-07,3.262622e-01,8.984242e-01
8912896,749332,8912896,634,5.492042e-03,-8.576345e-04,3.408684e-06,2.141757e-06,2.564519e-01,5.835182e+00
9437184,749340,9437184,667,5.655293e-03,-1.042951e-03,4.038142e-06,2.718513e-06,3.038090e-01,7.406542e+00
9961472,749341,9961472,702,5.490403e-03,-1.130081e-03,3.402635e-06,3.013420e-06,2.559967e-01,8.210012e+00
10485760,749367,10485760,741,5.160075e-03,-3.532280e-04,2.293088e-06,9.198113e-07,1.725202e-01,2.506010e+00
11010048,749370,11010048,777,5.182622e-03,-2.547005e-04,2.361882e-06,7.405299e-07,1.776958e-01,2.017561e+00
11534336,749386,11534336,814,5.143659e-03,-2.276515e-04,2.243642e-06,6.947080e-07,1.688001e-01,1.892720e+00
12058624,749405,12058624,844,4.767827e-03,-1.983159e-04,1.258989e-06,6.466668e-07,9.471985e-02,1.761833e+00
12582912,749444,12582912,876,3.930186e-03,-1.305911e-04,8.088671e-08,5.423308e-07,6.085500e-03,1.477571e+00
13107200,749456,13107200,910,3.864613e-03,1.520314e-04,4.788793e-08,2.059422e-07,3.602841e-03,5.610861e-01
13631488,749465,13631488,942,5.440044e-03,-1.192515e-03,3.219384e-06,3.234081e-06,2.422099e-01,8.811197e+00
14155776,749483,14155776,969,5.233954e-03,-1.101011e-03,2.522297e-06,2.913342e-06,1.897647e-01,7.937350e+00
14680064,749499,14680064,1005,5.126422e-03,-1.145100e-03,2.192300e-06,3.065792e-06,1.649374e-01,8.352698e+00
15204352,749508,15204352,1035,5.095189e-03,-1.117006e-03,2.100785e-06,2.968199e-06,1.580523e-01,8.086808e+00
15728640,749542,15728640,1084,4.974158e-03,-9.916298e-04,1.764589e-06,2.551910e-06,1.327586e-01,6.952635e+00
16252928,749557,16252928,1124,4.917761e-03,-1.048463e-03,1.617935e-06,2.736719e-06,1.217251e-01,7.456146e+00
16777216,749595,16777216,1155,4.817870e-03,-9.562577e-04,1.373796e-06,2.440149e-06,1.033573e-01,6.648145e+00
17301504,749651,17301504,1189,4.813493e-03,-9.357935e-04,1.363553e-06,2.376634e-06,1.025867e-01,6.475099e+00
17825792,749705,17825792,1225,4.839536e-03,-5.272026e-04,1.425053e-06,1.283786e-06,1.072136e-01,3.497652e+00
18350080,749719,18350080,1264,4.912533e-03,-4.224040e-04,1.604663e-06,1.057286e-06,1.207266e-01,2.880557e+00
18874368,749771,18874368,1301,4.952269e-03,-3.046393e-04,1.706914e-06,8.289724e-07,1.284194e-01,2.258521e+00
19398656,749831,19398656,1338,4.935328e-03,-2.872064e-04,1.662935e-06,7.975318e-07,1.251107e-01,2.172862e+00
19922944,749891,19922944,1372,4.924474e-03,-3.258690e-04,1.635059e-06,8.680817e-07,1.230134e-01,2.365074e+00
20447232,749929,20447232,1403,4.884650e-03,-3.046947e-04,1.534798e-06,8.290733e-07,1.154703e-01,2.258796e+00
20971520,749951,20971520,1436,1.209761e-03,2.786917e-03,5.934187e-06,4.757097e-06,4.464577e-01,1.296063e+01
21495808,750016,21495808,1469,1.227322e-03,2.723425e-03,5.848937e-06,4.484166e-06,4.400439e-01,1.221703e+01
22020096,750023,22020096,1498,1.266432e-03,2.675460e-03,5.661297e-06,4.283329e-06,4.259269e-01,1.166986e+01
22544384,750170,22544384,1540,1.336896e-03,2.755078e-03,5.330944e-06,4.619226e-06,4.010727e-01,1.258500e+01
23068672,750279,23068672,1582,1.408305e-03,2.709570e-03,5.006294e-06,4.425680e-06,3.766479e-01,1.205769e+01
23592960,750287,23592960,1624,1.419443e-03,2.682827e-03,4.956576e-06,4.313876e-06,3.729073e-01,1.175308e+01
24117248,750294,24117248,1663,1.493517e-03,2.627361e-03,4.632238e-06,4.086548e-06,3.485057e-01,1.113373e+01
24641536,750351,24641536,1690,1.523837e-03,2.581045e-03,4.502642e-06,3.901436e-06,3.387557e-01,1.062940e+01
25165824,750565,25165824,1718,1.506180e-03,2.541986e-03,4.577888e-06,3.748661e-06,3.444168e-01,1.021316e+01
25690112,751692,25690112,1748,1.501302e-03,2.522493e-03,4.598785e-06,3.673559e-06,3.459889e-01,1.000855e+01
26214400,757937,26214400,1793,1.487474e-03,2.440289e-03,4.658284e-06,3.365205e-06,3.504654e-01,9.168443e+00
26738688,757966,26738688,1821,1.563589e-03,2.362567e-03,4.335521e-06,3.086088e-06,3.261823e-01,8.407994e+00
27262976,758114,27262976,1851,1.554698e-03,2.334257e-03,4.372624e-06,2.987425e-06,3.289737e-01,8.139188e+00
