trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,753550,524288,33,1.672635e-03,2.160527e-03,3.893300e-06,2.417052e-06,2.929119e-01,6.585216e+00
1048576,753606,1048576,78,1.592157e-03,-1.816245e-03,4.217368e-06,5.866496e-06,3.172931e-01,1.598317e+01
1572864,753886,1572864,114,-3.863642e-03,5.860694e-03,5.639141e-05,2.761349e-05,4.242600e+00,7.523247e+01
2097152,754000,2097152,149,-1.391700e-03,4.065466e-03,2.537620e-05,1.196901e-05,1.909175e+00,3.260936e+01
2621440,754013,2621440,192,1.625626e-04,3.101579e-03,1.213280e-05,6.228715e-06,9.128097e-01,1.697003e+01
3145728,754060,3145728,221,5.221214e-04,2.780701e-03,9.757244e-06,4.730020e-06,7.340848e-01,1.288686e+01
3670016,754062,3670016,255,1.246242e-03,2.973544e-03,5.757784e-06,5.606021e-06,4.331861e-01,1.527351e+01
4194304,754067,4194304,285,1.881646e-03,2.661003e-03,3.112168e-06,4.223695e-06,2.341435e-01,1.150739e+01
4718592,754081,4718592,324,3.400103e-03,3.170971e-03,6.035711e-08,6.579895e-06,4.540958e-03,1.792681e+01
5242880,754086,5242880,364,3.882802e-03,2.428582e-03,5.617935e-08,3.322389e-06,4.226645e-03,9.051793e+00
5767168,754122,5767168,399,3.008223e-03,1.449964e-03,4.064788e-07,7.125452e-07,3.058137e-02,1.941317e+00
6291456,754292,6291456,426,3.092421e-03,1.288776e-03,3.062067e-07,4.664018e-07,2.303742e-02,1.270704e+00
6815744,754329,6815744,459,3.103115e-03,1.453602e-03,2.944857e-07,7.186996e-07,2.215559e-02,1.958085e+00
7340032,754441,7340032,489,3.294282e-03,1.416959e-03,1.235506e-07,6.579148e-07,9.295312e-03,1.792478e+00
7864320,754506,7864320,524,3.429570e-03,1.167277e-03,4.674698e-08,3.152116e-07,3.517002e-03,8.587887e-01
8388608,754650,8388608,559,3.006030e-03,1.148035e-03,4.092803e-07,2.939751e-07,3.079214e-02,8.009301e-01
8912896,754948,8912896,595,3.198312e-03,9.966968e-04,2.002279e-07,1.527690e-07,1.506412e-02,4.162165e-01
9437184,755485,9437184,628,3.319084e-03,7.976198e-04,1.067302e-07,3.677949e-08,8.029830e-03,1.002051e-01
9961472,755588,9961472,672,3.213389e-03,8.731110e-04,1.869623e-07,7.143380e-08,1.406608e-02,1.946202e-01
10485760,755778,10485760,710,2.901874e-03,1.625138e-03,5.533961e-07,1.038968e-06,4.163468e-02,2.830650e+00
11010048,759379,11010048,757,3.058505e-03,1.663751e-03,3.448925e-07,1.119176e-06,2.594793e-02,3.049177e+00
11534336,759393,11534336,794,4.314062e-03,1.306136e-03,4.466004e-07,4.904147e-07,3.359992e-02,1.336127e+00
12058624,759513,12058624,833,4.336356e-03,1.255060e-03,4.768948e-07,4.214872e-07,3.587911e-02,1.148335e+00
12582912,759624,12582912,874,4.170555e-03,1.134553e-03,2.753889e-07,2.795369e-07,2.071884e-02,7.615936e-01
