trueR,trueI
-1.721500e-03,1.278630e-03
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
262144,255017,2097152,262736,-1.556516e-03,1.076053e-03,2.721981e-08,4.103748e-08,9.184827e-03,2.510099e-02
524288,255063,4194304,525546,-1.613483e-03,1.159893e-03,1.166770e-08,1.409839e-08,3.937053e-03,8.623425e-03
786432,255063,6291456,788368,-1.645072e-03,1.199498e-03,5.841230e-09,6.261879e-09,1.971017e-03,3.830142e-03
1048576,255065,8388608,1051148,-1.633647e-03,1.184468e-03,7.718057e-09,8.866473e-09,2.604318e-03,5.423268e-03
1310720,255065,10485760,1314008,-1.669765e-03,1.224988e-03,2.676555e-09,2.877473e-09,9.031548e-04,1.760036e-03
1572864,255066,12582912,1576788,-1.658957e-03,1.203970e-03,3.911681e-09,5.574124e-09,1.319925e-03,3.409470e-03
1835008,255068,14680064,1839665,-1.686334e-03,1.236274e-03,1.236610e-09,1.794028e-09,4.172714e-04,1.097336e-03
2097152,255069,16777216,2102481,-1.688109e-03,1.241558e-03,1.114955e-09,1.374333e-09,3.762212e-04,8.406246e-04
2359296,255069,18874368,2365340,-1.705461e-03,1.264530e-03,2.572497e-10,1.988130e-10,8.680420e-05,1.216060e-04
2621440,255069,20971520,2628168,-1.711795e-03,1.270317e-03,9.418857e-11,6.910379e-11,3.178222e-05,4.226804e-05
2883584,255072,23068672,2891021,-1.717968e-03,1.278370e-03,1.247531e-11,6.769792e-14,4.209567e-06,4.140812e-08
3145728,255073,25165824,3153779,-1.708465e-03,1.258965e-03,1.699088e-10,3.867119e-10,5.733263e-05,2.365363e-04
3407872,255076,27262976,3416552,-1.695709e-03,1.246536e-03,6.651577e-10,1.030015e-09,2.244453e-04,6.300190e-04
3670016,255074,29360128,3679357,-1.694243e-03,1.245828e-03,7.429577e-10,1.075994e-09,2.506976e-04,6.581426e-04
3932160,255078,31457280,3942178,-1.693877e-03,1.245281e-03,7.630188e-10,1.112127e-09,2.574668e-04,6.802437e-04
4194304,255078,33554432,4205005,-1.696343e-03,1.248377e-03,6.328630e-10,9.152560e-10,2.135481e-04,5.598257e-04
4456448,255080,35651584,4467808,-1.693171e-03,1.246761e-03,8.025042e-10,1.015606e-09,2.707904e-04,6.212059e-04
4718592,255082,37748736,4730630,-1.694999e-03,1.251087e-03,7.023162e-10,7.586004e-10,2.369838e-04,4.640057e-04
4980736,255081,39845888,4993466,-1.696941e-03,1.253012e-03,6.031204e-10,6.563001e-10,2.035120e-04,4.014327e-04
5242880,255083,41943040,5256308,-1.702553e-03,1.263626e-03,3.589778e-10,2.251292e-10,1.211305e-04,1.377025e-04
5505024,255085,44040192,5519132,-1.705140e-03,1.267247e-03,2.676598e-10,1.295615e-10,9.031691e-05,7.924761e-05
5767168,255084,46137344,5781941,-1.702946e-03,1.264876e-03,3.442568e-10,1.891662e-10,1.161632e-04,1.157055e-04
6029312,255087,48234496,6044783,-1.704189e-03,1.267674e-03,2.996814e-10,1.200255e-10,1.011220e-04,7.341479e-05
6291456,255088,50331648,6307617,-1.705981e-03,1.268881e-03,2.408242e-10,9.503785e-11,8.126174e-05,5.813087e-05
6553600,255089,52428800,6570397,-1.704958e-03,1.267923e-03,2.736235e-10,1.146338e-10,9.232926e-05,7.011693e-05
6815744,255089,54525952,6833212,-1.704962e-03,1.268268e-03,2.735003e-10,1.073809e-10,9.228769e-05,6.568064e-05
7077888,255090,56623104,7096042,-1.708667e-03,1.270752e-03,1.646780e-10,6.206746e-11,5.556760e-05,3.796419e-05
7340032,255092,58720256,7358885,-1.709205e-03,1.272606e-03,1.511549e-10,3.628330e-11,5.100446e-05,2.219305e-05
7602176,255093,60817408,7621750,-1.713450e-03,1.278690e-03,6.479692e-11,3.580523e-15,2.186454e-05,2.190064e-09
7864320,255094,62914560,7884550,-1.712326e-03,1.274536e-03,8.415788e-11,1.676065e-11,2.839754e-05,1.025182e-05
8126464,255094,65011712,8147328,-1.707894e-03,1.267148e-03,1.851180e-10,1.318373e-10,6.246470e-05,8.063963e-05
8388608,255094,67108864,8410176,-1.710021e-03,1.267997e-03,1.317732e-10,1.130637e-10,4.446445e-05,6.915659e-05
8650752,255096,69206016,8672973,-1.708852e-03,1.266490e-03,1.599675e-10,1.473688e-10,5.397812e-05,9.013966e-05
8912896,255097,71303168,8935776,-1.707649e-03,1.264714e-03,1.918399e-10,1.936566e-10,6.473289e-05,1.184520e-04
9175040,255100,73400320,9198599,-1.709060e-03,1.267741e-03,1.547571e-10,1.185784e-10,5.221997e-05,7.252971e-05
9437184,255100,75497472,9461437,-1.709765e-03,1.269018e-03,1.377187e-10,9.238953e-11,4.647068e-05,5.651101e-05
9699328,255099,77594624,9724266,-1.712134e-03,1.272321e-03,8.771906e-11,3.979776e-11,2.959920e-05,2.434271e-05
9961472,255104,79691776,9987067,-1.710173e-03,1.268924e-03,1.283004e-10,9.421569e-11,4.329264e-05,5.762799e-05
10223616,255103,81788928,10249925,-1.713382e-03,1.273007e-03,6.590554e-11,3.162048e-11,2.223862e-05,1.934099e-05
10485760,255104,83886080,10512744,-1.712431e-03,1.272105e-03,8.224652e-11,4.257665e-11,2.775259e-05,2.604244e-05
10747904,255105,85983232,10775573,-1.711718e-03,1.270949e-03,9.568356e-11,5.900083e-11,3.228667e-05,3.608846e-05
11010048,255106,88080384,11038414,-1.711205e-03,1.271017e-03,1.059813e-10,5.795037e-11,3.576147e-05,3.544594e-05
11272192,255109,90177536,11301232,-1.711253e-03,1.271453e-03,1.050080e-10,5.150605e-11,3.543304e-05,3.150420e-05
11534336,255110,92274688,11564077,-1.713133e-03,1.274569e-03,7.001257e-11,1.648820e-11,2.362446e-05,1.008518e-05
11796480,255110,94371840,11826893,-1.713014e-03,1.275125e-03,7.201776e-11,1.228689e-11,2.430108e-05,7.515398e-06
12058624,255114,96468992,12089670,-1.709937e-03,1.270472e-03,1.336938e-10,6.655356e-11,4.511253e-05,4.070816e-05
12320768,255115,98566144,12352503,-1.710644e-03,1.271575e-03,1.178570e-10,4.977633e-11,3.976868e-05,3.044620e-05
12582912,255116,100663296,12615321,-1.711312e-03,1.272558e-03,1.038019e-10,3.687048e-11,3.502605e-05,2.255221e-05
12845056,255117,102760448,12878147,-1.712675e-03,1.273256e-03,7.787410e-11,2.887824e-11,2.627720e-05,1.766367e-05
13107200,255120,104857600,13140965,-1.712934e-03,1.273312e-03,7.337161e-11,2.827955e-11,2.475791e-05,1.729747e-05
13369344,255119,106954752,13403817,-1.715179e-03,1.277148e-03,3.995066e-11,2.195191e-12,1.348062e-05,1.342711e-06
13631488,255121,109051904,13666587,-1.712405e-03,1.272544e-03,8.271383e-11,3.703324e-11,2.791027e-05,2.265176e-05
13893632,255121,111149056,13929391,-1.711562e-03,1.271424e-03,9.875975e-11,5.191961e-11,3.332468e-05,3.175716e-05
14155776,255122,113246208,14192206,-1.711585e-03,1.271353e-03,9.830907e-11,5.295311e-11,3.317260e-05,3.238931e-05
14417920,255123,115343360,14455016,-1.710910e-03,1.270488e-03,1.121545e-10,6.629169e-11,3.784449e-05,4.054799e-05
14680064,255127,117440512,14717832,-1.711324e-03,1.270741e-03,1.035482e-10,6.223266e-11,3.494045e-05,3.806524e-05
14942208,255127,119537664,14980636,-1.709950e-03,1.268470e-03,1.334086e-10,1.032262e-10,4.501629e-05,6.313939e-05
15204352,255128,121634816,15243497,-1.712680e-03,1.271881e-03,7.778783e-11,4.554355e-11,2.624809e-05,2.785718e-05
15466496,255130,123731968,15506278,-1.711010e-03,1.268462e-03,1.100293e-10,1.033895e-10,3.712739e-05,6.323925e-05
15728640,255130,125829120,15769066,-1.710007e-03,1.267280e-03,1.320861e-10,1.288231e-10,4.457004e-05,7.879599e-05
15990784,255131,127926272,16031882,-1.710111e-03,1.266705e-03,1.297020e-10,1.421946e-10,4.376557e-05,8.697477e-05
16252928,255133,130023424,16294704,-1.710482e-03,1.266428e-03,1.213889e-10,1.488820e-10,4.096047e-05,9.106522e-05
16515072,255134,132120576,16557484,-1.709735e-03,1.265601e-03,1.384082e-10,1.697632e-10,4.670331e-05,1.038374e-04
16777216,255134,134217728,16820296,-1.709838e-03,1.266144e-03,1.360055e-10,1.559062e-10,4.589256e-05,9.536165e-05
