trueR,trueI
-1.721500e-03,1.278630e-03
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,89576,524288,3,-1.139910e-03,1.637145e-03,3.382472e-07,1.285331e-07,1.141354e-01,7.861860e-02
1048576,89623,1048576,6,-1.139910e-03,1.637145e-03,3.382472e-07,1.285331e-07,1.141354e-01,7.861860e-02
1572864,89663,1572864,12,-1.519880e-03,2.182860e-03,4.065074e-08,8.176322e-07,1.371685e-02,5.001131e-01
2097152,89691,2097152,16,-1.519880e-03,2.182860e-03,4.065074e-08,8.176322e-07,1.371685e-02,5.001131e-01
2621440,89703,2621440,19,-1.885662e-03,2.866874e-03,2.694932e-08,2.522520e-06,9.093557e-03,1.542925e+00
3145728,89711,3145728,21,-1.885036e-03,2.049076e-03,2.674400e-08,5.935873e-07,9.024276e-03,3.630737e-01
3670016,89738,3670016,29,-2.049996e-03,2.380025e-03,1.079098e-07,1.213071e-06,3.641221e-02,7.419874e-01
4194304,89790,4194304,34,-1.866385e-03,2.089930e-03,2.099178e-08,6.582085e-07,7.083292e-03,4.025999e-01
4718592,89839,4718592,37,-1.785666e-03,2.039621e-03,4.117250e-09,5.791075e-07,1.389291e-03,3.542170e-01
5242880,89901,5242880,40,-1.721090e-03,1.999374e-03,1.680167e-13,5.194713e-07,5.669416e-08,3.177399e-01
5767168,89913,5767168,41,-1.599170e-03,1.867223e-03,1.496458e-08,3.464415e-07,5.049525e-03,2.119045e-01
6291456,89917,6291456,46,-1.808300e-03,2.269484e-03,7.534294e-09,9.817924e-07,2.542310e-03,6.005234e-01
6815744,89940,6815744,49,-1.756886e-03,2.220843e-03,1.252141e-09,8.877653e-07,4.225121e-04,5.430108e-01
7340032,89968,7340032,53,-1.739957e-03,2.218130e-03,3.406462e-10,8.826599e-07,1.149448e-04,5.398879e-01
7864320,89999,7864320,62,-1.764025e-03,2.219730e-03,1.808406e-09,8.856689e-07,6.102136e-04,5.417284e-01
8388608,90023,8388608,65,-1.725018e-03,2.183318e-03,1.237682e-11,8.184610e-07,4.176333e-06,5.006201e-01
8912896,176518,8912896,73,-1.802356e-03,2.311695e-03,6.537660e-09,1.067223e-06,2.206014e-03,6.527779e-01
9437184,176577,9437184,77,-1.713399e-03,2.156242e-03,6.562231e-11,7.702037e-07,2.214305e-05,4.711030e-01
9961472,176595,9961472,82,-1.584397e-03,1.905386e-03,1.879711e-08,3.928226e-07,6.342742e-03,2.402740e-01
10485760,176610,10485760,93,-1.770259e-03,1.953692e-03,2.377456e-09,4.557093e-07,8.022290e-04,2.787392e-01
11010048,176635,11010048,101,-1.884138e-03,1.919439e-03,2.645124e-08,4.106364e-07,8.925489e-03,2.511700e-01
11534336,176648,11534336,106,-1.824910e-03,1.834886e-03,1.069358e-08,3.094208e-07,3.608353e-03,1.892604e-01
12058624,176659,12058624,110,-1.754311e-03,1.733958e-03,1.076559e-09,2.073239e-07,3.632653e-04,1.268118e-01
12582912,176686,12582912,111,-1.642099e-03,1.573227e-03,6.304493e-09,8.678753e-08,2.127336e-03,5.308448e-02
13107200,176690,13107200,116,-1.599659e-03,1.512669e-03,1.484511e-08,5.477422e-08,5.009212e-03,3.350321e-02
13631488,176694,13631488,119,-1.581977e-03,1.517456e-03,1.946672e-08,5.703810e-08,6.568690e-03,3.488793e-02
14155776,176715,14155776,124,-1.593750e-03,1.562313e-03,1.632009e-08,8.047589e-08,5.506916e-03,4.922390e-02
14680064,176716,14680064,129,-1.557584e-03,1.508633e-03,2.686843e-08,5.290118e-08,9.066261e-03,3.235755e-02
15204352,176717,15204352,133,-1.556284e-03,1.531882e-03,2.729634e-08,6.413645e-08,9.210653e-03,3.922971e-02
15728640,176757,15728640,138,-1.567736e-03,1.571771e-03,2.364331e-08,8.593192e-08,7.978003e-03,5.256114e-02
16252928,176762,16252928,145,-1.560424e-03,1.558188e-03,2.594558e-08,7.815294e-08,8.754862e-03,4.780304e-02
16777216,176896,16777216,149,-1.594218e-03,1.479855e-03,1.620071e-08,4.049147e-08,5.466633e-03,2.476702e-02
17301504,262956,17301504,154,-1.603479e-03,1.517695e-03,1.392883e-08,5.715204e-08,4.700029e-03,3.495762e-02
17825792,262983,17825792,159,-1.612196e-03,1.553309e-03,1.194728e-08,7.544858e-08,4.031393e-03,4.614889e-02
18350080,262999,18350080,164,-1.620415e-03,1.586888e-03,1.021816e-08,9.502299e-08,3.447933e-03,5.812178e-02
18874368,263023,18874368,166,-1.559881e-03,1.498978e-03,2.612064e-08,4.855319e-08,8.813933e-03,2.969806e-02
19398656,263039,19398656,170,-1.523158e-03,1.445318e-03,3.933937e-08,2.778477e-08,1.327435e-02,1.699484e-02
19922944,263085,19922944,175,-1.533071e-03,1.479088e-03,3.550532e-08,4.018326e-08,1.198062e-02,2.457850e-02
20447232,263102,20447232,180,-1.542476e-03,1.511126e-03,3.204962e-08,5.405426e-08,1.081456e-02,3.306284e-02
20971520,263118,20971520,185,-1.551410e-03,1.541562e-03,2.893049e-08,6.913319e-08,9.762066e-03,4.228602e-02
21495808,263137,21495808,191,-1.590887e-03,1.615445e-03,1.705969e-08,1.134444e-07,5.756482e-03,6.938940e-02
22020096,263140,22020096,199,-1.625384e-03,1.680928e-03,9.238237e-09,1.618435e-07,3.117275e-03,9.899326e-02
22544384,263192,22544384,208,-1.667113e-03,1.756056e-03,2.957923e-09,2.279356e-07,9.980974e-04,1.394191e-01
23068672,263199,23068672,213,-1.697902e-03,1.706992e-03,5.568750e-10,1.834938e-07,1.879074e-04,1.122358e-01
23592960,263250,23592960,219,-1.710833e-03,1.741821e-03,1.137779e-10,2.145455e-07,3.839226e-05,1.312290e-01
24117248,263297,24117248,225,-1.723203e-03,1.775135e-03,2.898758e-12,2.465174e-07,9.781331e-07,1.507849e-01
24641536,263319,24641536,232,-1.715071e-03,1.761849e-03,4.132502e-11,2.335009e-07,1.394438e-05,1.428232e-01
25165824,263448,25165824,244,-1.863001e-03,1.692874e-03,2.002242e-08,1.715979e-07,6.756201e-03,1.049596e-01
25690112,349353,25690112,248,-1.855998e-03,1.702874e-03,1.808977e-08,1.799825e-07,6.104064e-03,1.100882e-01
26214400,349369,26214400,252,-1.849276e-03,1.712473e-03,1.632666e-08,1.882201e-07,5.509134e-03,1.151267e-01
26738688,349392,26738688,258,-1.831860e-03,1.690758e-03,1.217940e-08,1.698493e-07,4.109717e-03,1.038901e-01
27262976,349538,27262976,265,-1.869358e-03,1.671487e-03,2.186204e-08,1.543363e-07,7.376947e-03,9.440140e-02
27787264,349558,27787264,275,-1.880898e-03,1.692550e-03,2.540763e-08,1.713297e-07,8.573342e-03,1.047956e-01
28311552,349569,28311552,282,-1.895322e-03,1.731947e-03,3.021398e-08,2.054965e-07,1.019516e-02,1.256940e-01
28835840,349580,28835840,287,-1.895404e-03,1.750068e-03,3.024256e-08,2.222535e-07,1.020480e-02,1.359436e-01
29360128,349638,29360128,291,-1.888698e-03,1.757796e-03,2.795522e-08,2.296002e-07,9.432978e-03,1.404373e-01
29884416,349721,29884416,300,-1.912106e-03,1.711357e-03,3.633069e-08,1.872529e-07,1.225913e-02,1.145351e-01
30408704,349759,30408704,303,-1.898792e-03,1.710078e-03,3.143259e-08,1.861473e-07,1.060635e-02,1.138589e-01
30932992,349779,30932992,308,-1.876459e-03,1.682098e-03,2.401219e-08,1.627864e-07,8.102478e-03,9.957000e-02
31457280,349817,31457280,314,-1.883181e-03,1.708635e-03,2.614085e-08,1.849039e-07,8.820754e-03,1.130984e-01
31981568,349948,31981568,324,-1.871362e-03,1.682567e-03,2.245870e-08,1.631654e-07,7.578278e-03,9.980181e-02
32505856,349954,32505856,331,-1.884079e-03,1.717042e-03,2.643189e-08,1.922052e-07,8.918962e-03,1.175643e-01
33030144,349998,33030144,337,-1.890360e-03,1.741760e-03,2.851384e-08,2.144898e-07,9.621477e-03,1.311949e-01
33554432,350225,33554432,338,-1.866761e-03,1.723072e-03,2.110064e-08,1.975289e-07,7.120026e-03,1.208206e-01
