trueR,trueI
-1.721500e-03,1.278630e-03
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI,RvarianceR,RvarianceI
524288,88053,524288,6,-3.401782e-03,1.429451e-04,2.823348e-06,1.289780e-06,9.526874e-01,7.889073e-01
1048576,88069,1048576,13,-4.152748e-03,-1.149870e-03,5.910968e-06,5.897612e-06,1.994549e+00,3.607335e+00
1572864,88075,1572864,18,-2.962202e-03,-7.468239e-04,1.539341e-06,4.102463e-06,5.194225e-01,2.509314e+00
2097152,88092,2097152,24,-2.461920e-03,-4.088721e-04,5.482226e-07,2.847663e-06,1.849877e-01,1.741803e+00
2621440,88099,2621440,34,-2.201980e-03,-3.033905e-04,2.308606e-07,2.502789e-06,7.789970e-02,1.530856e+00
3145728,88109,3145728,44,-2.028686e-03,-2.330694e-04,9.436297e-08,2.285235e-06,3.184107e-02,1.397787e+00
3670016,88128,3670016,46,-1.847436e-03,-4.385517e-05,1.585991e-08,1.748967e-06,5.351636e-03,1.069773e+00
4194304,88240,4194304,54,-1.831634e-03,1.736784e-04,1.212948e-08,1.220918e-06,4.092870e-03,7.467870e-01
4718592,88318,4718592,58,-1.796995e-03,3.969208e-04,5.699440e-09,7.774111e-07,1.923172e-03,4.755114e-01
5242880,88354,5242880,65,-1.995470e-03,4.260947e-04,7.505979e-08,7.268163e-07,2.532756e-02,4.445646e-01
5767168,88392,5767168,69,-1.952235e-03,5.858007e-04,5.323855e-08,4.800124e-07,1.796438e-02,2.936045e-01
6291456,88392,6291456,76,-1.901302e-03,6.328755e-04,3.232895e-08,4.169988e-07,1.090882e-02,2.550616e-01
6815744,88394,6815744,85,-2.190714e-03,4.802501e-04,2.201621e-07,6.374104e-07,7.428967e-02,3.898786e-01
7340032,88417,7340032,92,-2.130024e-03,5.281392e-04,1.668918e-07,5.632364e-07,5.631460e-02,3.445092e-01
7864320,88431,7864320,95,-2.064016e-03,6.020730e-04,1.173174e-07,4.577294e-07,3.958661e-02,2.799749e-01
8388608,88459,8388608,98,-2.006260e-03,6.667650e-04,8.108800e-08,3.743788e-07,2.736167e-02,2.289926e-01
8912896,173789,8912896,101,-1.955298e-03,7.238461e-04,5.466142e-08,3.077851e-07,1.844450e-02,1.882599e-01
9437184,173808,9437184,109,-2.004613e-03,6.039140e-04,8.015322e-08,4.552416e-07,2.704624e-02,2.784532e-01
9961472,173815,9961472,114,-1.999100e-03,7.157383e-04,7.706151e-08,3.168470e-07,2.600300e-02,1.938027e-01
10485760,173828,10485760,121,-1.966197e-03,7.374863e-04,5.987667e-08,2.928364e-07,2.020429e-02,1.791164e-01
11010048,173834,11010048,126,-1.963038e-03,8.323001e-04,5.834040e-08,1.992104e-07,1.968591e-02,1.218491e-01
11534336,173841,11534336,130,-1.942894e-03,8.936892e-04,4.901541e-08,1.481794e-07,1.653936e-02,9.063547e-02
12058624,173847,12058624,135,-1.941023e-03,9.734668e-04,4.819023e-08,9.312455e-08,1.626092e-02,5.696058e-02
